s	label	mindatid
gsmin:becquerelite	Becquerelite	597
gsmin:bederite	Bederite	6821
gsmin:behoite	Behoite	603
gsmin:beidellite	Beidellite	604
gsmin:belendorffite	Belendorffite	608
gsmin:belkovite	Belkovite	609
gsmin:bellbergite	Bellbergite	610
gsmin:bellidoite	Bellidoite	611
gsmin:bellingerite	Bellingerite	612
gsmin:belloite	Belloite	7062
gsmin:belovite-ce	Belovite-(Ce)	7062
gsmin:belovite-la	Belovite-(La)	6822
gsmin:belyankinite	Belyankinite	619
gsmin:bementite	Bementite	621
gsmin:benauite	Benauite	622
gsmin:benavidesite	Benavidesite	623
gsmin:bendadaite	Bendadaite	31722
gsmin:benitoite	Benitoite	624
gsmin:benjaminite	Benjaminite	625
gsmin:benleonardite	Benleonardite	817
gsmin:benstonite	Benstonite	626
gsmin:bentorite	Bentorite	627
gsmin:benyacarite	Benyacarite	6823
gsmin:beraunite	Beraunite	628
gsmin:berborite	Berborite	629
gsmin:berdesinskiite	Berdesinskiite	630
gsmin:berezanskite	Berezanskite	6824
gsmin:bergenite	Bergenite	631
gsmin:bergslagite	Bergslagite	632
gsmin:berlinite	Berlinite	633
gsmin:bermanite	Bermanite	634
gsmin:bernalite	Bernalite	635
gsmin:bernardite	Bernardite	636
gsmin:berndtite	Berndtite	637
gsmin:berryite	Berryite	638
gsmin:berthierine	Berthierine	639
gsmin:berthierite	Berthierite	640
gsmin:bertossaite	Bertossaite	641
gsmin:bertrandite	Bertrandite	642
gsmin:beryl	Beryl	819
gsmin:beryllite	Beryllite	643
gsmin:beryllonite	Beryllonite	644
gsmin:berzelianite	Berzelianite	645
gsmin:berzeliite	Berzeliite	646
gsmin:beshtauite	Beshtauite	43574
gsmin:betalomonosovite	Betalomonosovite	647
gsmin:betekhtinite	Betekhtinite	650
gsmin:betpakdalite-caca	Betpakdalite-CaCa	651
gsmin:betpakdalite-camg	Betpakdalite-CaMg	41944
gsmin:betpakdalite-naca	Betpakdalite-NaCa	3706
gsmin:betpakdalite-nana	Betpakdalite-NaNa	41945
gsmin:beudantite	Beudantite	652
gsmin:beusite	Beusite	653
gsmin:beyerite	Beyerite	654
gsmin:bezsmertnovite	Bezsmertnovite	656
gsmin:biachellaite	Biachellaite	32621
gsmin:bianchite	Bianchite	660
gsmin:bicchulite	Bicchulite	661
gsmin:bideauxite	Bideauxite	662
gsmin:bieberite	Bieberite	664
gsmin:biehlite	Biehlite	7581
gsmin:bigcreekite	Bigcreekite	7083
gsmin:bijvoetite-y	Bijvoetite-(Y)	669
gsmin:bikitaite	Bikitaite	670
gsmin:bilibinskite	Bilibinskite	672
gsmin:billietite	Billietite	674
gsmin:billingsleyite	Billingsleyite	675
gsmin:billwiseite	Billwiseite	43328
gsmin:bindheimite	Bindheimite	676
gsmin:biotite	Biotite	677
gsmin:biphosphammite	Biphosphammite	678
gsmin:biraite-ce	Biraite-(Ce)	27384
gsmin:birchite	Birchite	35925
gsmin:biringuccite	Biringuccite	679
gsmin:birnessite	Birnessite	680
gsmin:birunite	Birunite	40582
gsmin:bischofite	Bischofite	681
gsmin:bismite	Bismite	682
gsmin:bismoclite	Bismoclite	683
gsmin:bismuth	Bismuth	684
gsmin:bismuthinite	Bismuthinite	686
gsmin:bismutite	Bismutite	687
gsmin:bismutocolumbite	Bismutocolumbite	688
gsmin:bismutoferrite	Bismutoferrite	667
gsmin:bismutohauchecornite	Bismutohauchecornite	658
gsmin:bismutostibiconite	Bismutostibiconite	659
gsmin:bismutotantalite	Bismutotantalite	663
gsmin:bityite	Bityite	689
gsmin:bixbyite	Bixbyite	691
gsmin:bjarebyite	Bjarebyite	692
gsmin:blakeite	Blakeite	693
gsmin:blatonite	Blatonite	6826
gsmin:blatterite	Blatterite	694
gsmin:bleasdaleite	Bleasdaleite	7039
gsmin:blixite	Blixite	696
gsmin:blossite	Blossite	697
gsmin:blodite	Blödite	695
gsmin:bobfergusonite	Bobfergusonite	700
gsmin:bobierrite	Bobierrite	701
gsmin:bobjonesite	Bobjonesite	11455
gsmin:bobkingite	Bobkingite	11338
gsmin:bobmeyerite	Bobmeyerite	43334
gsmin:bobtraillite	Bobtraillite	27406
gsmin:bogdanovite	Bogdanovite	702
gsmin:boggsite	Boggsite	704
gsmin:bohdanowiczite	Bohdanowiczite	706
gsmin:bohseite	Bohseite	40562
gsmin:bokite	Bokite	709
gsmin:boleite	Boleite	712
gsmin:bolivarite	Bolivarite	713
gsmin:boltwoodite	Boltwoodite	716
gsmin:bonaccordite	Bonaccordite	717
gsmin:bonattite	Bonattite	718
gsmin:bonshtedtite	Bonshtedtite	719
gsmin:boothite	Boothite	720
gsmin:boracite	Boracite	721
gsmin:boralsilite	Boralsilite	6829
gsmin:borax	Borax	722
gsmin:borcarite	Borcarite	723
gsmin:borishanskiite	Borishanskiite	724
gsmin:bornemanite	Bornemanite	725
gsmin:bornhardtite	Bornhardtite	726
gsmin:bornite	Bornite	727
gsmin:borocookeite	Borocookeite	28988
gsmin:borodaevite	Borodaevite	728
gsmin:boromullite	Boromullite	36058
gsmin:boromuscovite	Boromuscovite	729
gsmin:borovskite	Borovskite	730
gsmin:bortnikovite	Bortnikovite	30763
gsmin:boscardinite	Boscardinite	41957
gsmin:bostwickite	Bostwickite	731
gsmin:botallackite	Botallackite	732
gsmin:botryogen	Botryogen	733
gsmin:bottinoite	Bottinoite	735
gsmin:bouazzerite	Bouazzerite	28920
gsmin:boulangerite	Boulangerite	738
gsmin:bournonite	Bournonite	741
gsmin:boussingaultite	Boussingaultite	743
gsmin:bowieite	Bowieite	745
gsmin:boyleite	Boyleite	746
gsmin:bracewellite	Bracewellite	748
gsmin:brackebuschite	Brackebuschite	749
gsmin:bradaczekite	Bradaczekite	10382
gsmin:bradleyite	Bradleyite	750
gsmin:braggite	Braggite	751
gsmin:braithwaiteite	Braithwaiteite	31499
gsmin:braitschite-ce	Braitschite-(Ce)	752
gsmin:brandholzite	Brandholzite	7046
gsmin:brandtite	Brandtite	753
gsmin:brannerite	Brannerite	754
gsmin:brannockite	Brannockite	755
gsmin:brassite	Brassite	756
gsmin:braunite	Braunite	757
gsmin:brazilianite	Brazilianite	760
gsmin:bredigite	Bredigite	762
gsmin:breithauptite	Breithauptite	763
gsmin:brendelite	Brendelite	6831
gsmin:brenkite	Brenkite	764
gsmin:brewsterite-ba	Brewsterite-Ba	6832
gsmin:brewsterite-sr	Brewsterite-Sr	6833
gsmin:brianroulstonite	Brianroulstonite	6834
gsmin:brianyoungite	Brianyoungite	772
gsmin:briartite	Briartite	773
gsmin:brindleyite	Brindleyite	774
gsmin:brinrobertsite	Brinrobertsite	11001
gsmin:britholite-ce	Britholite-(Ce)	775
gsmin:britholite-y	Britholite-(Y)	776
gsmin:britvinite	Britvinite	30905
gsmin:brizziite	Brizziite	778
gsmin:brochantite	Brochantite	779
gsmin:brockite	Brockite	780
gsmin:brodtkorbite	Brodtkorbite	7090
gsmin:bromargyrite	Bromargyrite	783
gsmin:bromellite	Bromellite	784
gsmin:brontesite	Brontesite	39208
gsmin:brookite	Brookite	787
gsmin:brownmillerite	Brownmillerite	790
gsmin:brucite	Brucite	820
gsmin:brugnatellite	Brugnatellite	791
gsmin:brumadoite	Brumadoite	38827
gsmin:brunogeierite	Brunogeierite	792
gsmin:brushite	Brushite	793
gsmin:bruggenite	Brüggenite	769
gsmin:buckhornite	Buckhornite	795
gsmin:buddingtonite	Buddingtonite	796
gsmin:bukovite	Bukovite	797
gsmin:bukovskyite	Bukovskýite	798
gsmin:bulachite	Bulachite	799
gsmin:bultfonteinite	Bultfonteinite	800
gsmin:bunsenite	Bunsenite	801
gsmin:burangaite	Burangaite	802
gsmin:burbankite	Burbankite	803
gsmin:burckhardtite	Burckhardtite	804
gsmin:burgessite	Burgessite	35833
gsmin:burkeite	Burkeite	805
gsmin:burnsite	Burnsite	11157
gsmin:burovaite-ca	Burovaite-Ca	35892
gsmin:burpalite	Burpalite	806
gsmin:burtite	Burtite	808
gsmin:buryatite	Buryatite	11186
gsmin:buserite	Buserite	9779
gsmin:bushmakinite	Bushmakinite	11002
gsmin:bussenite	Bussenite	11187
gsmin:bussyite-ce	Bussyite-(Ce)	32615
gsmin:bustamite	Bustamite	809
gsmin:butlerite	Butlerite	810
gsmin:buttgenbachite	Buttgenbachite	811
gsmin:byelorussite-ce	Byelorussite-(Ce)	812
gsmin:bykovaite	Bykovaite	26447
gsmin:bystrite	Bystrite	813
gsmin:bystromite	Byströmite	814
gsmin:byzantievite	Byzantievite	37645
gsmin:behierite	Béhierite	602
gsmin:bilinite	Bílinite	673
gsmin:bohmite	Böhmite	707
gsmin:boggildite	Bøggildite	703
gsmin:bogvadite	Bøgvadite	705
gsmin:butschliite	Bütschliite	821
gsmin:behounekite	B?hounekite	603
gsmin:cabalzarite	Cabalzarite	7027
gsmin:cabriite	Cabriite	837
gsmin:cacoxenite	Cacoxenite	840
gsmin:cadmium	Cadmium	842
gsmin:cadmoindite	Cadmoindite	27212
gsmin:cadmoselite	Cadmoselite	844
gsmin:cadwaladerite	Cadwaladerite	845
gsmin:cafarsite	Cafarsite	849
gsmin:cafetite	Cafetite	850
gsmin:cahnite	Cahnite	851
gsmin:calaverite	Calaverite	852
gsmin:calciborite	Calciborite	854
gsmin:calcio-olivine	Calcio-olivine	9574
gsmin:calcioancylite-ce	Calcioancylite-(Ce)	854
gsmin:calcioancylite-nd	Calcioancylite-(Nd)	856
gsmin:calcioandyrobertsite	Calcioandyrobertsite	6840
gsmin:calcioaravaipaite	Calcioaravaipaite	829
gsmin:calcioburbankite	Calcioburbankite	827
gsmin:calciocatapleiite	Calciocatapleiite	860
gsmin:calciocopiapite	Calciocopiapite	826
gsmin:calciodelrioite	Calciodelrioite	43345
gsmin:calcioferrite	Calcioferrite	832
gsmin:calciohilairite	Calciohilairite	831
gsmin:calciolangbeinite	Calciolangbeinite	42383
gsmin:calciopetersite	Calciopetersite	28884
gsmin:calciosamarskite	Calciosamarskite	7962
gsmin:calciotantite	Calciotantite	834
gsmin:calciouranoite	Calciouranoite	828
gsmin:calcioursilite	Calcioursilite	11360
gsmin:calcite	Calcite	859
gsmin:calcjarlite	Calcjarlite	861
gsmin:calclacite	Calclacite	862
gsmin:calcurmolite	Calcurmolite	863
gsmin:calcybeborosilite-y	Calcybeborosilite-(Y)	6843
gsmin:calderite	Calderite	864
gsmin:calderonite	Calderónite	25597
gsmin:caledonite	Caledonite	865
gsmin:calkinsite-ce	Calkinsite-(Ce)	867
gsmin:callaghanite	Callaghanite	868
gsmin:calomel	Calomel	869
gsmin:calumetite	Calumetite	870
gsmin:calvertite	Calvertite	30904
gsmin:calzirtite	Calzirtite	871
gsmin:cameronite	Cameronite	873
gsmin:camgasite	Camgasite	874
gsmin:caminite	Caminite	875
gsmin:campigliaite	Campigliaite	876
gsmin:camerolaite	Camérolaite	872
gsmin:canaphite	Canaphite	877
gsmin:canasite	Canasite	878
gsmin:canavesite	Canavesite	879
gsmin:cancrinite	Cancrinite	880
gsmin:cancrisilite	Cancrisilite	881
gsmin:canfieldite	Canfieldite	882
gsmin:cannizzarite	Cannizzarite	883
gsmin:cannonite	Cannonite	884
gsmin:caoxite	Caoxite	6845
gsmin:capgaronnite	Capgaronnite	886
gsmin:cappelenite-y	Cappelenite-(Y)	889
gsmin:capranicaite	Capranicaite	39882
gsmin:caracolite	Caracolite	890
gsmin:carboborite	Carboborite	891
gsmin:carbobystrite	Carbobystrite	39562
gsmin:carbocernaite	Carbocernaite	892
gsmin:carboirite	Carboirite	893
gsmin:carbokentbrooksite	Carbokentbrooksite	25674
gsmin:carbonatecyanotrichite	Carbonatecyanotrichite	894
gsmin:caresite	Caresite	6848
gsmin:carletonite	Carletonite	898
gsmin:carlfrancisite	Carlfrancisite	43359
gsmin:carlfriesite	Carlfriesite	899
gsmin:carlgieseckeite-nd	Carlgieseckeite-(Nd)	40295
gsmin:carlhintzeite	Carlhintzeite	900
gsmin:carlinite	Carlinite	901
gsmin:carlosbarbosaite	Carlosbarbosaite	41099
gsmin:carlosruizite	Carlosruizite	902
gsmin:carlosturanite	Carlosturanite	903
gsmin:carlsbergite	Carlsbergite	904
gsmin:carmichaelite	Carmichaelite	6849
gsmin:carminite	Carminite	905
gsmin:carnallite	Carnallite	906
gsmin:carnotite	Carnotite	907
gsmin:carobbiite	Carobbiite	908
gsmin:carpathite	Carpathite	2162
gsmin:carpholite	Carpholite	909
gsmin:carraraite	Carraraite	7038
gsmin:carrboydite	Carrboydite	910
gsmin:carrollite	Carrollite	911
gsmin:caryinite	Caryinite	912
gsmin:caryochroite	Caryochroite	28997
gsmin:caryopilite	Caryopilite	913
gsmin:cascandite	Cascandite	914
gsmin:cassagnaite	Cassagnaite	31591
gsmin:cassedanneite	Cassedanneite	915
gsmin:cassiterite	Cassiterite	917
gsmin:catalanoite	Catalanoite	25690
gsmin:catamarcaite	Catamarcaite	27224
gsmin:catapleiite	Catapleiite	919
gsmin:cattierite	Cattierite	920
gsmin:cattiite	Cattiite	11456
