s	label	def
min:ajoite	Ajoite	(K,Na)Cu7AlSi9O24(OH)6 · 3H2O Nickel-Strunz 09.EA.70
min:akaganeite	Akaganeite	(Fe3+,Ni2+)8(OH,O)16Cl1.25 · nH2O Nickel-Strunz 04.DK.05
min:akaogiite	Akaogiite	TiO2 Nickel-Strunz 04.D0.
min:akatoreite	Akatoreite	Mn2+9Al2Si8O24(OH)8 Nickel-Strunz 09.BH.15
min:akdalaite	Akdalaite	5Al2O3 · H2O Nickel-Strunz 04.FL.70
min:akhtenskite	Akhtenskite	Îµ-Mn4+O2 Nickel-Strunz 04.DB.15b
min:akimotoite	Akimotoite	(Mg,Fe2+)SiO3 Nickel-Strunz 04.CB.05
min:aklimaite	Aklimaite	Ca4[Si2O5(OH)2](OH)4·5H2O Nickel-Strunz 99.99. Speculative Nickel-Strunz classification by the GSQ, Not approved by AMA.
min:akopovaite	Akopovaite	Al4Li2(OH)12(CO3)(H2O)3 Nickel-Strunz 05.DA. Speculative Nickel-Strunz classification by the GSQ, Not approved by AMA.
min:akrochordite	Akrochordite	(Mn2+,Mg)5(AsO4)2(OH)4 · 4H2O Nickel-Strunz 08.DD.10
min:aksaite	Aksaite	Mg[B6O7(OH)6] · 2H2O Nickel-Strunz 06.FA.05
min:aktashite	Aktashite	Cu6Hg3As4S12 Nickel-Strunz 02.GA.30
min:alabandite	Alabandite	MnS Nickel-Strunz 02.CD.10
min:alacranite	Alacránite	As8S9 Nickel-Strunz 02.FA.20
min:alamosite	Alamosite	PbSiO3 Nickel-Strunz 09.DO.20
min:alarsite	Alarsite	AlAsO4 Nickel-Strunz 08.AA.05
min:albertiniite	Albertiniite	Fe2+(SO3)·3H2O Nickel-Strunz 04.JE.X
min:albite	Albite	Na(AlSi3O8) Nickel-Strunz 09.FA.35
min:albrechtschraufite	Albrechtschraufite	Ca4Mg(UO2)2(CO3)6F2 · 17-18H2O Nickel-Strunz 05.ED.15
min:alburnite	Alburnite	Ag8GeTe2S4 Nickel-Strunz 02.BA.
min:alcaparrosaite	Alcaparrosaite	K3Ti4+Fe3+(SO4)4O(H2O)2 Nickel-Strunz 07.DF.
min:aldermanite	Aldermanite	Mg5Al12(PO4)8(OH)22 · 32H2O Nickel-Strunz 08.DE.35
min:aldridgeite	Aldridgeite	(Cd,Ca)(Cu,Zn)4(SO4)2(OH)6 · 3H2O Nickel-Strunz 07.DF.
min:aleksandrovite	Aleksandrovite	KCa7Sn2Li3Si12O36F2 Nickel-Strunz 09.CJ.25
min:aleksite	Aleksite	PbBi2Te2S2 Nickel-Strunz 02.GC.40a
min:aleutite	Aleutite	[Cu5O2](AsO4)(VO4)·(Cu,K,Pb,Rb,Cs,)Cl Nickel-Strunz 08.00. Speculative Nickel-Strunz classification by the GSQ, Not approved by AMA.
min:alexkhomyakovite	Alexkhomyakovite	K6(Ca2Na)(CO3)5Cl·6H2O Nickel-Strunz 05.DA.
min:alflarsenite	Alflarsenite	NaCa2Be3Si4O13(OH) · 2H2O Nickel-Strunz 09.G0.
min:alforsite	Alforsite	Ba5(PO4)3Cl Nickel-Strunz 08.BN.05
min:alfredopetrovite	Alfredopetrovite	Al2(Se4+O3)3·6H2O Nickel-Strunz 07.CA.X
min:alfredstelznerite	Alfredstelznerite	Ca4(H2O)4[B4O4(OH)6]4(H2O)15 Nickel-Strunz 06.D0.
min:algodonite	Algodonite	(Cu1-xAsx) Nickel-Strunz 02.AA.10a
min:aliettite	Aliettite	Ca0.2Mg6((Si,Al)8O20)(OH)4 · 4H2O Nickel-Strunz 09.EC.60
min:all-hydrocarbons	All Hydrocarbons	All Hydrocarbons. Nickel-Strunz 10.B
min:all-hydrocarbons-hydrocarbons	All Hydrocarbons - Hydrocarbons	All Hydrocarbons - Hydrocarbons. Nickel-Strunz 10.BA
min:allabogdanite	Allabogdanite	(Fe,Ni)2P Nickel-Strunz 01.BD.15
min:allactite	Allactite	Mn2+7(AsO4)2(OH)8 Nickel-Strunz 08.BE.30
