s	label	def
min:edtollite	Edtollite	K2NaCu5Fe3+O2(AsO4)4 Nickel-Strunz 08.AC.
min:edwardsite	Edwardsite	Cu3Cd2(SO4)2(OH)6·4H2O Nickel-Strunz 07.DD.30
min:effenbergerite	Effenbergerite	BaCuSi4O10 Nickel-Strunz 09.EA.05
min:efremovite	Efremovite	(NH4)2Mg2(SO4)3 Nickel-Strunz 07.AC.10
min:eggletonite	Eggletonite	(Na,K,Ca)2(Mn,Fe)8(Si,Al)12O29(OH)7 · 11H2O Nickel-Strunz 09.EG.30
min:eglestonite	Eglestonite	(Hg2+2)3OCl3(OH) Nickel-Strunz 03.DD.05
min:ehrleite	Ehrleite	Ca4Be3Zn2(PO4)6 · 9H2O Nickel-Strunz 08.CA.10
min:eifelite	Eifelite	KNa3Mg4Si12O30 Nickel-Strunz 09.CM.05
min:eirikite	Eirikite	KNa6Be2(Si15Al3)O39F2 Nickel-Strunz 09.EH.25
min:eitelite	Eitelite	Na2Mg(CO3)2 Nickel-Strunz 05.AC.05
min:ekanite	Ekanite	Ca2ThSi8O20 Nickel-Strunz 09.EA.10
min:ekaterinite	Ekaterinite	Ca2(B4O7)(Cl,OH)2 · 2H2O Nickel-Strunz 06.HA.40
min:ekatite	Ekatite	(Fe3+,Fe2+,Zn)12(AsO3)6(AsO3,HSiO4)2(OH)6 Nickel-Strunz 04.JB.75
min:ekebergite	Ekebergite	ThFeNb2O8 Nickel-Strunz 99.99. Speculative Nickel-Strunz classification by the GSQ, Not approved by AMA.
min:ekplexite	Ekplexite	(Nb,Mo,W)S2·(Mg1-xAlx)(OH)2+x Nickel-Strunz 02.FD. Speculative Nickel-Strunz classification by the GSQ, Not approved by AMA.
min:elasmochloite	Elasmochloite	Na3Cu6BiO4(SO4)5 Nickel-Strunz 99.99. Speculative Nickel-Strunz classification by the GSQ, Not approved by AMA.
min:elbaite	Elbaite	Na(Li1.5Al1.5)Al6(Si6O18)(BO3)3(OH)3(OH) Nickel-Strunz 09.CK.05
min:elbrusite	Elbrusite	Ca3(Zr1.5U6+0.5)Fe3+3O12 Nickel-Strunz 99.99. Speculative Nickel-Strunz classification by the GSQ, Not approved by AMA.
min:eldfellite	Eldfellite	NaFe3+(SO4)2 Nickel-Strunz 07.AC.15
min:eldragonite	Eldragónite	Cu6BiSe4(Se2) Nickel-Strunz 99.99. Speculative Nickel-Strunz classification by the GSQ, Not approved by AMA.
min:electrum	Electrum	(Au, Ag) Nickel-Strunz 01.AA.05
min:eleomelanite	Eleomelanite	(K2Pb)Cu4O2(SO4)4 Nickel-Strunz 07.00. Speculative Nickel-Strunz classification by the GSQ, Not approved by AMA.
min:eleonorite	Eleonorite	Fe3+6(PO4)4O(OH)4 · 6H2O Nickel-Strunz 08.DC. Speculative Nickel-Strunz classification by the GSQ, Not approved by AMA.
min:eliseevite	Eliseevite	LiNa1.5Ti2(H1.5Si4O12)O2 · 2H2O Nickel-Strunz 09.DB.17
min:ellenbergerite	Ellenbergerite	Mg6(Mg,Ti,Zr,->>)2(Al,Mg)6Si8O28(OH)10 Nickel-Strunz 09.AF.80
min:ellingsenite	Ellingsenite	Na5Ca6Si18O38(OH)13 · 6H2O Nickel-Strunz 09.00. Speculative Nickel-Strunz classification by the GSQ, Not approved by AMA.
min:ellisite	Ellisite	Tl3AsS3 Nickel-Strunz 02.JC.05
min:elpasolite	Elpasolite	K2NaAlF6 Nickel-Strunz 03.CB.15
min:elpidite	Elpidite	Na2ZrSi6O15 · 3H2O Nickel-Strunz 09.DG.65
min:eltyubyuite	Eltyubyuite	Ca12Fe3+10Si4O32Cl6 Nickel-Strunz 09.AD.25
min:elyite	Elyite	Pb4Cu(SO4)O2(OH)4 · H2O Nickel-Strunz 07.DF.65
min:embreyite	Embreyite	Pb5(CrO4)2(PO4)2 · H2O Nickel-Strunz 07.FC.20
min:emeleusite	Emeleusite	Li2Na4Fe2Si12O30 Nickel-Strunz 09.DN.05
min:emilite	Emilite	Pb2.7Cu2.7Bi5.3S12 Nickel-Strunz 02.HB.05a
min:emmerichite	Emmerichite	Ba2Na(Na,Fe2+)2(Fe3+,Mg)Ti2(Si2O7)2O2F2 Nickel-Strunz 09.BE.25
min:emmonsite	Emmonsite	Fe3+2(TeO3)3 · 2H2O Nickel-Strunz 04.JM.10
min:emplectite	Emplectite	CuBiS2 Nickel-Strunz 02.HA.05
min:empressite	Empressite	AgTe Nickel-Strunz 02.CB.80
min:enargite	Enargite	Cu3AsS4 Nickel-Strunz 02.KA.05
min:engelhauptite	Engelhauptite	KCu3(V2O7)(OH)2Cl Nickel-Strunz 08.FB. Speculative Nickel-Strunz classification by the GSQ, Not approved by AMA.
min:englishite	Englishite	K3Na2Ca10Al15(PO4)21(OH)7 · 26H2O Nickel-Strunz 08.DH.55
min:enneasartorite	Enneasartorite	Tl6Pb32As70S140 Nickel-Strunz 02.HD. Speculative Nickel-Strunz classification by the GSQ, Not approved by AMA.
min:enstatite	Enstatite	MgSiO3 Nickel-Strunz 09.DA.05
min:eosphorite	Eosphorite	Mn2+Al(PO4)(OH)2 · H2O Nickel-Strunz 08.DD.20
min:ephesite	Ephesite	LiNaAl2(Al2Si2O10)(OH)2 Nickel-Strunz 09.EC.20
min:epididymite	Epididymite	Na2Be2Si6O15 · H2O Nickel-Strunz 09.DG.55
min:epidote	Epidote	{Ca2}{Al2Fe3+}(Si2O7)(SiO4)O(OH) Nickel-Strunz 09.BG.05a
min:epidote-sr	Epidote-(Sr)	{CaSr}{Al2Fe3+}(Si2O7)(SiO4)O(OH) Nickel-Strunz 09.BG.05a
min:epifanovite	Epifanovite	NaCaCu5(PO4)4[AsO2(OH)2]·7H2O Nickel-Strunz 08.DG. Speculative Nickel-Strunz classification by the GSQ, Not approved by AMA.
min:epistilbite	Epistilbite	CaAl2Si6O16 · 5H2O Nickel-Strunz 09.GD.45
min:epistolite	Epistolite	Na2(Nb,Ti)2(Si2O7)O2 · nH2O Nickel-Strunz 09.BE.30
min:epsomite	Epsomite	MgSO4 · 7H2O Nickel-Strunz 07.CB.40
min:erazoite	Erazoite	Cu4SnS6 Nickel-Strunz 99.99. Speculative Nickel-Strunz classification by the GSQ, Not approved by AMA.
min:ercitite	Ercitite	Na2Mn3+2(PO4)2(OH)2 · 4H2O Nickel-Strunz 08.DJ.35
min:erdite	Erdite	NaFeS2 · 2H2O Nickel-Strunz 02.FD.20
min:ericaite	Ericaite	Fe2+3(B7O13)Cl Nickel-Strunz 06.GA.05
min:ericlaxmanite	Ericlaxmanite	Cu4O(AsO4)2 Nickel-Strunz 99.99. Speculative Nickel-Strunz classification by the GSQ, Not approved by AMA.
min:ericssonite	Ericssonite	BaMn2+2Fe3+(Si2O7)O(OH) Nickel-Strunz 09.BE.25
min:ericssonite-2o	Ericssonite-2O	BaMn2+2Fe3+(Si2O7)O(OH) Nickel-Strunz 09.BE.25
min:erikapohlite	Erikapohlite	Cu3(Zn,Cu,Mg)4Ca2(AsO4)6·2H2O Nickel-Strunz 08.CA. Speculative Nickel-Strunz classification by the GSQ, Not approved by AMA.
min:erikjonssonite	Erikjonssonite	(Pb32O21)[(V,Si,Mo,As)O4]4Cl9 Nickel-Strunz 99.99. Speculative Nickel-Strunz classification by the GSQ, Not approved by AMA.
min:eringaite	Eringaite	Ca3Sc2(SiO4)3 Nickel-Strunz 09.AD.25
min:eriochalcite	Eriochalcite	CuCl2 · 2H2O Nickel-Strunz 03.BB.05
min:erionite-ca	Erionite-Ca	(Ca,K2,Na2)2[Al4Si14O36] · 15H2O Nickel-Strunz 09.GD.20
min:erionite-k	Erionite-K	(K2,Ca,Na2)2[Al4Si14O36] · 15H2O Nickel-Strunz 09.GD.20
min:erionite-na	Erionite-Na	(Na2,K2,Ca)2[Al4Si14O36] · 15H2O Nickel-Strunz 09.GD.20
min:erlianite	Erlianite	(Fe,Mg)4(Fe,V)2Si6O15(OH,O)8 Nickel-Strunz 09.HC.05
min:erlichmanite	Erlichmanite	OsS2 Nickel-Strunz 02.EB.05a
min:ernienickelite	Ernienickelite	NiMn3O7 · 3H2O Nickel-Strunz 04.FL.20
min:erniggliite	Erniggliite	Tl2SnAs2S6 Nickel-Strunz 02.GA.45
min:ernstburkeite	Ernstburkeite	Mg(CH3SO3)2 · 12H2O Nickel-Strunz 10.00. Speculative Nickel-Strunz classification by the GSQ, Not approved by AMA.
min:ernstite	Ernstite	(Mn2+,Fe3+)Al(PO4)(OH,O)2 · H2O Nickel-Strunz 08.DD.20
min:ershovite	Ershovite	Na4K3(Fe,Mn,Ti)2Si8O22(OH)4 · 4H2O Nickel-Strunz 09.DF.15
min:ertixiite	Ertixiite	Na2Si4O9 Nickel-Strunz 09.HA.05
min:erythrite	Erythrite	Co3(AsO4)2 · 8H2O Nickel-Strunz 08.CE.40
min:erythrosiderite	Erythrosiderite	K2[Fe3+Cl5(H2O)] Nickel-Strunz 03.CJ.10
min:erzwiesite	Erzwiesite	Ag8Pb12Bi16S40 Nickel-Strunz 02.JB. Speculative Nickel-Strunz classification by the GSQ, Not approved by AMA.
min:escheite	Escheite	Ca2NaMnTi5[Si12O34]O2(OH)3·12H2O Nickel-Strunz 09.DG. Speculative Nickel-Strunz classification by the GSQ, Not approved by AMA.
min:eskebornite	Eskebornite	CuFeSe2 Nickel-Strunz 02.CB.10a
min:eskimoite	Eskimoite	Ag7Pb10Bi15S36 Nickel-Strunz 02.JB.40b
min:eskolaite	Eskolaite	Cr2O3 Nickel-Strunz 04.CB.05
min:espadaite	Espadaite	Na4Ca3Mg2[AsO3(OH)]2[AsO2(OH)2]10·7H2O Nickel-Strunz 08.CF.
min:esperanzaite	Esperanzaite	NaCa2Al2(AsO4)2(OH)F4 · 2H2O Nickel-Strunz 08.DM.05
min:esperite	Esperite	PbCa2Zn3(SiO4)3 Nickel-Strunz 09.AB.15
min:esquireite	Esquireite	BaSi6O13·7H2O Nickel-Strunz 99.99. Speculative Nickel-Strunz classification by the GSQ, Not approved by AMA.
min:esseneite	Esseneite	CaFe3+[AlSiO6] Nickel-Strunz 09.DA.15
min:eta-bronze	Eta-bronze	Cu6Sn5 Nickel-Strunz 01.AC.15
min:ettringite	Ettringite	Ca6Al2(SO4)3(OH)12 · 26H2O Nickel-Strunz 07.DG.15
min:eucairite	Eucairite	AgCuSe Nickel-Strunz 02.BA.50
min:euchlorine	Euchlorine	KNaCu3(SO4)3O Nickel-Strunz 07.BC.30
min:euchroite	Euchroite	Cu2(AsO4)(OH) · 3H2O Nickel-Strunz 08.DC.07
min:euclase	Euclase	BeAl(SiO4)(OH) Nickel-Strunz 09.AE.10
min:eucryptite	Eucryptite	LiAlSiO4 Nickel-Strunz 09.AA.05
min:eudialyte	Eudialyte	Na15Ca6(Fe2+,Mn2+)3Zr3[Si25O73](O,OH,H2O)3(OH,Cl)2 Nickel-Strunz 09.CO.10
min:eudidymite	Eudidymite	Na2Be2Si6O15 · H2O Nickel-Strunz 09.DG.60
min:eugenite	Eugenite	Ag11Hg2 Nickel-Strunz 01.AD.15c
min:eugsterite	Eugsterite	Na4Ca(SO4)3 · 2H2O Nickel-Strunz 07.CD.25
min:eulytine	Eulytine	Bi4(SiO4)3 Nickel-Strunz 09.AD.40
min:eurekadumpite	Eurekadumpite	(Cu,Zn)16(TeO3)2(AsO4)3Cl(OH)18 · 7H2O Nickel-Strunz 99.99. Speculative Nickel-Strunz classification by the GSQ, Not approved by AMA.
min:euxenite-y	Euxenite-(Y)	(Y,Ca,Ce,U,Th)(Nb,Ta,Ti)2O6 Nickel-Strunz 04.DG.05
min:evansite	Evansite	Al3(PO4)(OH)6 · 6H2O Nickel-Strunz 08.DF.10
min:evdokimovite	Evdokimovite	Tl4(VO)3(SO4)5(H2O)5 Nickel-Strunz 99.99. Speculative Nickel-Strunz classification by the GSQ, Not approved by AMA.
min:eveite	Eveite	Mn2+2(AsO4)(OH) Nickel-Strunz 08.BB.30
min:evenkite	Evenkite	C21H44 Nickel-Strunz 10.BA.50
min:eveslogite	Eveslogite	(Na,K,Ca,Sr,Ba)48 [(Ti,Nb,Mn,Fe2+)12Si48O144(OH)12](F,OH,Cl)14 Nickel-Strunz 09.DG.97
min:ewaldite	Ewaldite	Ba(Na,Ca,Y,Ce,K)(CO3)2 · 2.6H2O Nickel-Strunz 05.CC.05
min:ewingite	Ewingite	Mg8Ca8(UO2)24(CO3)30O4(OH)12(H2O)138 Nickel-Strunz 05.EC. Speculative Nickel-Strunz classification by the GSQ, Not approved by AMA.
min:eylettersite	Eylettersite	Th0.75Al3(PO4)2(OH)6 Nickel-Strunz 08.BL.10
min:eyselite	Eyselite	Fe3+Ge4+3O7(OH) Nickel-Strunz 04.DM.20
min:ezcurrite	Ezcurrite	Na4B10O17 · 7H2O Nickel-Strunz 06.EB.10
min:eztlite	Eztlite	Pb2+2Fe3+3(Te4+ O3)3(SO4)O2Cl Nickel-Strunz 04.JN.20
min:fabianite	Fabianite	CaB3O5OH Nickel-Strunz 06.FC.20
min:fabriesite	Fabrièsite	Na3Al3Si3O12.2H2O Nickel-Strunz 09.00. Speculative Nickel-Strunz classification by the GSQ, Not approved by AMA.
min:faheyite	Faheyite	Be2Mn2+Fe3+2(PO4)4 · 6H2O Nickel-Strunz 08.CA.15
min:fahleite	Fahleite	CaZn5Fe3+2(AsO4)6 · 14H2O Nickel-Strunz 08.CH.55
min:fairbankite	Fairbankite	Pb(TeO3) Nickel-Strunz 04.JK.50
min:fairchildite	Fairchildite	K2Ca(CO3)2 Nickel-Strunz 05.AC.20
min:fairfieldite	Fairfieldite	Ca2Mn2+(PO4)2 · 2H2O Nickel-Strunz 08.CG.05
min:faizievite	Faizievite	K2Na(Ca6Na)Ti4Li6[Si6O18]2[Si12O30]F2 Nickel-Strunz 09.CM.10
min:falcondoite	Falcondoite	(Ni,Mg)4Si6O15(OH)2 · 6H2O Nickel-Strunz 09.EE.25
min:falgarite	Falgarite	K4(VO)3(SO4)5 Nickel-Strunz 99.99. Speculative Nickel-Strunz classification by the GSQ, Not approved by AMA.
min:falkmanite	Falkmanite	Pb3Sb2S6 Nickel-Strunz 02.HC.15
min:falottaite	Falottaite	MnC2O4·3H2O Nickel-Strunz 10.AB.X
min:falsterite	Falsterite	Ca2MgMn2+2Fe2+2Fe3+2Zn4(PO4)8(OH)4(H2O)14 Nickel-Strunz 99.99. Speculative Nickel-Strunz classification by the GSQ, Not approved by AMA.
min:famatinite	Famatinite	Cu3SbS4 Nickel-Strunz 02.KA.10
min:fanfaniite	Fanfaniite	Ca4MnAl4(PO4)6(OH)4·12H2O Nickel-Strunz 08.DH. Speculative Nickel-Strunz classification by the GSQ, Not approved by AMA.
min:fangite	Fangite	Tl3AsS4 Nickel-Strunz 02.KA.15
min:fantappieite	Fantappièite	[Na82.5Ca33K16.5](Si99Al99O396)(SO4)33 · 4H2O Nickel-Strunz 09.FB.05
min:farneseite	Farneseite	(Na,Ca,K)56(Al6Si6O24)7(SO4)12 · 6H2O Nickel-Strunz 09.FB.05
min:farringtonite	Farringtonite	Mg3(PO4)2 Nickel-Strunz 08.AB.05
min:fassinaite	Fassinaite	Pb2(S2O3)(CO3) Nickel-Strunz 07.JA. Speculative Nickel-Strunz classification by the GSQ, Not approved by AMA.
min:faujasite-ca	Faujasite-Ca	(Ca,Na2,Mg)3.5[Al7Si17O48] · 32H2O Nickel-Strunz 09.GD.30
min:faujasite-mg	Faujasite-Mg	(Mg,Na2,Ca)3.5[Al7Si17O48] · 32H2O Nickel-Strunz 09.GD.30
min:faujasite-na	Faujasite-Na	(Na2,Ca,Mg)3.5[Al7Si17O48] · 32H2O Nickel-Strunz 09.GD.30
min:faustite	Faustite	(Zn,Cu)Al6(PO4)4(OH)8 · 4H2O Nickel-Strunz 08.DD.15
min:favreauite	Favreauite	PbBiCu6O4(SeO3)4(OH) · H2O Nickel-Strunz 99.99. Speculative Nickel-Strunz classification by the GSQ, Not approved by AMA.
min:fayalite	Fayalite	Fe2+2SiO4 Nickel-Strunz 09.AC.05
min:fedorite	Fedorite	(Na,K)2-3(Ca4Na3)Si16O38(OH,F)2 · 3.5H2O Nickel-Strunz 09.EE.80
min:fedorovskite	Fedorovskite	Ca2Mg2B4O7(OH)6 Nickel-Strunz 06.DA.25
min:fedotovite	Fedotovite	K2Cu3(SO4)3O Nickel-Strunz 07.BC.30
min:feiite	Feiite	Fe2+2(Fe2+Ti4+)O5 Nickel-Strunz 99.99. Speculative Nickel-Strunz classification by the GSQ, Not approved by AMA.
min:feinglosite	Feinglosite	Pb2Zn(AsO4)2 · H2O Nickel-Strunz 08.BG.05
min:feitknechtite	Feitknechtite	Mn3+O(OH) Nickel-Strunz 04.FE.25
min:feklichevite	Feklichevite	Na11Ca9(Fe3+,Fe2+)2Zr3Nb[Si25O73](OH,H2O,Cl,O)5 Nickel-Strunz 09.CO.10
min:felbertalite	Felbertalite	Cu2Pb6Bi8S19 Nickel-Strunz 02.JB.25b
min:feldspar	Feldspar	Feldspar. Nickel-Strunz 09.FA. Speculative Nickel-Strunz classification by the GSQ, Not approved by AMA.
min:felsobanyaite	Fels?bányaite	Al4(SO4)(OH)10 · 4H2O Nickel-Strunz 07.DD.05
min:fenaksite	Fenaksite	(K,Na)4(Fe,Mn)2(Si4O10)2(OH,F) Nickel-Strunz 09.DG.70
min:fencooperite	Fencooperite	Ba6Fe3+3Si8O23(CO3)2Cl3 · H2O Nickel-Strunz 09.BH.20
min:fengchengite	Fengchengite	Na12->>3(Ca,Sr)6Fe3+3 Zr3Si(Si25O73)(H2O,OH)3(OH,Cl)2 Nickel-Strunz 09.CO. Speculative Nickel-Strunz classification by the GSQ, Not approved by AMA.
min:feodosiyite	Feodosiyite	Cu11Mg2Cl18(OH)8·16H2O Nickel-Strunz 03.00. Speculative Nickel-Strunz classification by the GSQ, Not approved by AMA.
min:ferberite	Ferberite	FeWO4 Nickel-Strunz 04.DB.30
min:ferchromide	Ferchromide	Cr3Fe1-x Nickel-Strunz 01.AE.15
min:ferdisilicite	Ferdisilicite	FeSi2 Nickel-Strunz 01.BB.20
min:ferdowsiite	Ferdowsiite	Ag8(Sb5As3)S16 Nickel-Strunz 02.00. Speculative Nickel-Strunz classification by the GSQ, Not approved by AMA.
min:fergusonite-ce	Fergusonite-(Ce)	(Ce,La,Nd)NbO4 Nickel-Strunz 07.GA.05
min:fergusonite-ce-beta	Fergusonite-(Ce)-?	(Ce,La,Nd)NbO4 Nickel-Strunz 04.DG.10
min:fergusonite-nd	Fergusonite-(Nd)	(Nd,Ce)(Nb,Ti)O4 Nickel-Strunz 07.GA.05
min:fergusonite-nd-beta	Fergusonite-(Nd)-?	(Nd,Ce)NbO4 Nickel-Strunz 04.DG.10
min:fergusonite-y	Fergusonite-(Y)	YNbO4 Nickel-Strunz 07.GA.05
min:fergusonite-y-beta	Fergusonite-(Y)-?	YNbO4 Nickel-Strunz 04.DG.10
min:ferhodsite	Ferhodsite	(Fe,Rh,Ni,Ir,Cu,Pt)9S8 Nickel-Strunz 02.BB. Speculative Nickel-Strunz classification by the GSQ, Not approved by AMA.
min:fermiite	Fermiite	Na4(UO2)(SO4)3·3H2O Nickel-Strunz 07.EC. Speculative Nickel-Strunz classification by the GSQ, Not approved by AMA.
min:fernandinite	Fernandinite	(Ca,K)(V5+,V4+,Fe2+)8O20 · 10H2O Nickel-Strunz 04.HE.20
min:feroxyhyte	Feroxyhyte	Fe3+O(OH) Nickel-Strunz 04.FE.40
min:ferraioloite	Ferraioloite	MgMn2+4(Fe2+0.5Al3+0.5)4Zn4(PO4)8(OH)4(H2O)20 Nickel-Strunz 99.99. Speculative Nickel-Strunz classification by the GSQ, Not approved by AMA.
min:ferrarisite	Ferrarisite	Ca5(AsO4)2(HAsO4)2 · 9H2O Nickel-Strunz 08.CJ.30
min:ferri-barroisite	Ferri-barroisite	˜?(CaNa)(Mg3Fe3+2)(AlSi7O22)(OH)2 Nickel-Strunz 09.DE.20
min:ferri-ferrotschermakite	Ferri-ferrotschermakite	˜?{Ca2}{Fe2+3Fe3+2}(Al2Si6O22)(OH)2 Nickel-Strunz 09.DE.10
min:ferri-ferrowinchite	Ferri-ferrowinchite	Na(Ca,Mn)(Fe2+,Mn2+,Fe3+)5Si8O22(OH)2 Nickel-Strunz 09.DE. Speculative Nickel-Strunz classification by the GSQ, Not approved by AMA.
min:ferri-fluoro-katophorite	Ferri-fluoro-katophorite	Na(CaNa)(Mg4Fe3+)(AlSi7O22)F2 Nickel-Strunz 09.DE.20
min:ferri-fluoro-leakeite	Ferri-fluoro-leakeite	{Na}{Na2}{Mg2Fe3+2Li}(Si8O22)F2 Nickel-Strunz 09.DE.05
min:ferri-ghoseite	Ferri-ghoseite	˜?[Mn2+Na][Mg4Fe3+]Si8O22(OH)2 Nickel-Strunz 09.DE.20
min:ferri-kaersutite	Ferri-kaersutite	NaCa2(Mg3Fe3+Ti)(Al2Si6O22)O2 Nickel-Strunz 09.DE.15
min:ferri-katophorite	Ferri-katophorite	Na(CaNa)(Mg4Fe3+)(AlSi7O22)(OH)2 Nickel-Strunz 09.DE.20
min:ferri-leakeite	Ferri-leakeite	[Na][Na2][Mg2Fe3+2Li]Si8O22(OH)2 Nickel-Strunz 09.DE.25
min:ferri-magnesiokatophorite	Ferri-magnesiokatophorite	NaNaCa(Mg,Fe3+)5(Si,Al)8O22(OH)2 Nickel-Strunz 09.DE. Speculative Nickel-Strunz classification by the GSQ, Not approved by AMA.
min:ferri-magnesiotaramite	Ferri-magnesiotaramite	NaCaNaMg3Fe3+2Si6Al2O22(OH)2 Nickel-Strunz 09.DE.20
min:ferri-mottanaite-ce	Ferri-mottanaite-(Ce)	Ca4Ce2Fe3+(Be1.5->>0.5)[Si4B4O22]O2 Nickel-Strunz 09.DK. Speculative Nickel-Strunz classification by the GSQ, Not approved by AMA.
min:ferri-nyboite	Ferri-nybøite	NaNa2(Mg3Fe3+2](AlSi7O22)(OH)2 Nickel-Strunz 09.DE.25
min:ferri-obertiite	Ferri-obertiite	Na(Na2)(Mg3Fe3+Ti)(Si8O22)O2 Nickel-Strunz 09.DE.25
min:ferri-ottoliniite	Ferri-ottoliniite	->>{Li2}{Mg3Fe3+2}(Si8O22)(OH)2 Nickel-Strunz 09.DE.15
min:ferri-pedrizite	Ferri-pedrizite	[Na][Li2][Mg2Fe3+2Li]Si8O22(OH)2 Nickel-Strunz 09.DE.25
min:ferri-taramite	Ferri-taramite	Na(CaNa)(Mg3Fe3+2)(Al2Si6O22)(OH)2 Nickel-Strunz 09.DE.20
min:ferri-tschermakite	Ferri-tschermakite	˜?{Ca2}{Mg3Fe3+2}(Al2Si6O22)(OH)2 Nickel-Strunz 09.DE.10
min:ferri-winchite	Ferri-winchite	˜?[CaNa][Mg4(Fe3+,Al)]Si8O22(OH)2 Nickel-Strunz 09.DE.20
min:ferriakasakaite-ce	Ferriakasakaite-(Ce)	{CaCe}{Fe3+AlMn2+}(Si2O7)(SiO4)O(OH) Nickel-Strunz 09.BG.05 Speculative Nickel-Strunz classification by the GSQ, Not approved by AMA.
min:ferriakasakaite-la	Ferriakasakaite-(La)	{CaLa}{Fe3+AlMn2+}(Si2O7)(SiO4)O(OH) Nickel-Strunz 09.BG.05 Speculative Nickel-Strunz classification by the GSQ, Not approved by AMA.
min:ferriallanite-ce	Ferriallanite-(Ce)	{CaCe}{Fe3+AlFe2+}(Si2O7)(SiO4)O(OH) Nickel-Strunz 09.BG.05b
min:ferriallanite-la	Ferriallanite-(La)	{CaLa}{Fe3+AlFe2+}(Si2O7)(SiO4)O(OH) Nickel-Strunz 09.BG.05b
min:ferriandrosite-ce	Ferriandrosite-(Ce)	{Mn2+REE}{Fe3+AlMn2+}(SiO4)(Si2O7)O(OH) Nickel-Strunz 09.BG.05 Speculative Nickel-Strunz classification by the GSQ, Not approved by AMA.
min:ferriandrosite-la	Ferriandrosite-(La)	{MnLa}{Fe3+AlMn2+}(Si2O7)(SiO4)O(OH) Nickel-Strunz 09.BG.05 Speculative Nickel-Strunz classification by the GSQ, Not approved by AMA.
min:ferribushmakinite	Ferribushmakinite	Pb2Fe3+(PO4)(VO4)(OH) Nickel-Strunz 08.BG. Speculative Nickel-Strunz classification by the GSQ, Not approved by AMA.
min:ferric-nyboite	Ferric-nybøite	NaNa2(Mg3Fe3+2](AlSi7O22)(OH)2 Nickel-Strunz 09.DE.25
min:ferricopiapite	Ferricopiapite	Fe5(SO4)6O(OH) · 20H2O Nickel-Strunz 07.DB.35
min:ferricoronadite	Ferricoronadite	Pb(Mn4+6Fe3+2)O16 Nickel-Strunz 04.DK. Speculative Nickel-Strunz classification by the GSQ, Not approved by AMA.
min:ferrierite-k	Ferrierite-K	(K2,Na2,Mg,Ca)3-5Mg[Al5-7Si27.5-31O72] · 18H2O Nickel-Strunz 09.GD.50
min:ferrierite-mg	Ferrierite-Mg	(Mg,Na2,K2,Ca)3-5Mg[Al5-7Si27.5-31O72] · 18H2O Nickel-Strunz 09.GD.50
min:ferrierite-nh4	Ferrierite-NH4	(NH4,Mg0.5)5(Al5Si31O72)·22H2O Nickel-Strunz 09.G0. Speculative Nickel-Strunz classification by the GSQ, Not approved by AMA.
min:ferrierite-na	Ferrierite-Na	(Na2,K2,Mg,Ca)3-5Mg[Al5-7Si27.5-31O72] · 18H2O Nickel-Strunz 09.GD.50
min:ferrihollandite	Ferrihollandite	Ba(Mn4+6Fe3+2)O16 Nickel-Strunz 04.DK.
min:ferrihydrite	Ferrihydrite	Fe3+10O14(OH)2 Nickel-Strunz 04.FE.35
min:ferrilotharmeyerite	Ferrilotharmeyerite	Ca(Fe3+,Zn)2(AsO4)2 · 2(OH,H2O) Nickel-Strunz 08.CG.15
min:ferrimolybdite	Ferrimolybdite	Fe2(MoO4)3 · nH2O Nickel-Strunz 07.GB.30
min:ferrinatrite	Ferrinatrite	Na3Fe(SO4)3 · 3H2O Nickel-Strunz 07.CC.35
min:ferriperboeite-ce	Ferriperbøeite-(Ce)	(CaCe3)(Fe3+Al2Fe2+)(Si2O7)(SiO4)3O(OH)2 Nickel-Strunz 99.99. Speculative Nickel-Strunz classification by the GSQ, Not approved by AMA.
min:ferriperboeite-la	Ferriperbøeite-(La)	(CaLa3)(Fe3+Al2Fe2+)(Si2O7)(SiO4)3O(OH)2 Nickel-Strunz 99.99. Speculative Nickel-Strunz classification by the GSQ, Not approved by AMA.
min:ferripyrophyllite	Ferripyrophyllite	Fe3+Si2O5(OH) Nickel-Strunz 09.EC.10
min:ferrirockbridgeite	Ferrirockbridgeite	(Fe3+0.67˜?0.33)2(Fe3+)3(PO4)3(OH)4(H2O) Nickel-Strunz 08.DC. Speculative Nickel-Strunz classification by the GSQ, Not approved by AMA.
min:ferrisepiolite	Ferrisepiolite	(Fe3+,Fe2+,Mg)4((Si,Fe3+)6O15)(O,OH)2 · 6H2O Nickel-Strunz 09.00.
min:ferrisicklerite	Ferrisicklerite	Li1-x(Fe3+xFe2+1-x)PO4 Nickel-Strunz 08.AB.10
min:ferristrunzite	Ferristrunzite	Fe3+Fe3+2(PO4)2(OH)3 · 5H2O Nickel-Strunz 08.DC.25
min:ferrisurite	Ferrisurite	(Pb,Ca)2.4Fe3+2(Si4O10)(CO3)1.7(OH)3 · nH2O Nickel-Strunz 09.EC.75
min:ferrisymplesite	Ferrisymplesite	Fe3+3(AsO4)2(OH)3 · 5H2O Nickel-Strunz 08.CE.40
min:ferritungstite	Ferritungstite	(W,Fe3+)2(O,OH)6·n(H2O,K,Ca,Na) Nickel-Strunz 04.DH.15
min:ferrivauxite	Ferrivauxite	Fe3+Al2(PO4)2(OH)3·5H2O Nickel-Strunz 08.DC. Speculative Nickel-Strunz classification by the GSQ, Not approved by AMA.
