label	s	strunz
Alluaudite Supergroup	<https://w3id.org/geochem/1.0/min/grouplexicon/53044>	
Almandine	gcmin:almandine	09.AD.25
Almarudite	gcmin:almarudite	09.CM.05
Almeidaite	gcmin:almeidaite	04
Alnaperbøeite Group	<https://w3id.org/geochem/1.0/min/grouplexicon/52600>	
Alnaperbøeite-(Ce)	gcmin:alnaperboeite-ce	09.BG
Alpeite	gcmin:alpeite	09.BJ.40
Alpersite	gcmin:alpersite	07.CB.35
Alsakharovite-Zn	gcmin:alsakharovite-zn	09.CE.30h
Alstonite	gcmin:alstonite	05.AB.35
Altaite	gcmin:altaite	02.CD.10
Alterite	gcmin:alterite	07.DE.42
Althausite	gcmin:althausite	08.BB.25
Althupite	gcmin:althupite	08.EC.25
Altisite	gcmin:altisite	09.DP.40
Alum Group	<https://w3id.org/geochem/1.0/min/grouplexicon/152>	
Alum-(K)	gcmin:alum-k	07.CC.20
Alum-(Na)	gcmin:alum-na	07.CC.20
Aluminite	gcmin:aluminite	07.DC.05
Aluminite Group	<https://w3id.org/geochem/1.0/min/grouplexicon/39648>	
Aluminium	gcmin:aluminium	01.AA.05
Aluminoceladonite	gcmin:aluminoceladonite	09.EC.15
Aluminocerite-(Ce)	gcmin:aluminocerite-ce	09.AG.20
Aluminocopiapite	gcmin:aluminocopiapite	07.DB.35
Aluminocoquimbite	gcmin:aluminocoquimbite	07.CB.50
"Aluminofluoride with CO3, SO4, or PO4"	strunz:s03_CG	
Aluminomagnesiohulsite	gcmin:aluminomagnesiohulsite	06.AB.45
Aluminopyracmonite	gcmin:aluminopyracmonite	07.AC
Aluminosilicate	gcmin:aluminosilicate	
Aluminosugilite	gcmin:aluminosugilite	09.CM.9.CM.
Aluminotaipingite-(CeCa)	gcmin:aluminotaipingite-ceca	09.AG
Alumohydrocalcite	gcmin:alumohydrocalcite	05.DB.05
Alumoklyuchevskite	gcmin:alumoklyuchevskite	07.BC.45
Alumotantite	gcmin:alumotantite	04.DB.55
