label	s	strunz
Fergusonite-(Y)	gcmin:fergusonite-y	07.GA.05
Fergusonite-(Y)-ß	gcmin:fergusonite-y-beta	
Ferhodsite	gcmin:ferhodsite	02.BB.15
Fermiite	gcmin:fermiite	07.EC.45
Fernandinite	gcmin:fernandinite	04.HE.20
Feroxyhyte	gcmin:feroxyhyte	04.FE.40
Ferraioloite	gcmin:ferraioloite	08.CF
Ferrarisite	gcmin:ferrarisite	08.CJ.30
Ferri-fluoro-katophorite	gcmin:ferri-fluoro-katophorite	09.DE.20
Ferri-fluoro-leakeite	gcmin:ferri-fluoro-leakeite	09.DE.05
Ferri-ghoseite	gcmin:ferri-ghoseite	09.DE.20
Ferri-kaersutite	gcmin:ferri-kaersutite	09.DE.15
Ferri-katophorite	gcmin:ferri-katophorite	09.DE.20
Ferri-leakeite	gcmin:ferri-leakeite	09.DE.25
Ferri-obertiite	gcmin:ferri-obertiite	09.DE.25
Ferri-winchite	gcmin:ferri-winchite	09.DE.20
Ferriakasakaite-(Ce)	gcmin:ferriakasakaite-ce	09.BG.05b
Ferriakasakaite-(La)	gcmin:ferriakasakaite-la	09.BG.9.BG.
Ferriallanite-(Ce)	gcmin:ferriallanite-ce	09.BG.05b
Ferriallanite-(La)	gcmin:ferriallanite-la	09.BG.05b
Ferriandrosite-(Ce)	gcmin:ferriandrosite-ce	09.BG.9.BG.
Ferribushmakinite	gcmin:ferribushmakinite	08.BG.05
Ferricopiapite	gcmin:ferricopiapite	07.DB.35
Ferricoronadite	gcmin:ferricoronadite	04.DK.4.DK.
Ferrierite Subgroup	<https://w3id.org/geochem/1.0/min/grouplexicon/1492>	
Ferrierite-K	gcmin:ferrierite-k	09.GD.50
Ferrierite-Mg	gcmin:ferrierite-mg	09.GD.50
Ferrierite-NH4	gcmin:ferrierite-nh4	09.GD.50
Ferrierite-NH<sub>4</sub>	gcmin:ferrierite-nh4	09.GD.50
Ferrierite-Na	gcmin:ferrierite-na	09.GD.50
Ferrihollandite	gcmin:ferrihollandite	04.DK
Ferrihydrite	gcmin:ferrihydrite	04.FE.35
Ferrilotharmeyerite	gcmin:ferrilotharmeyerite	08.CG.15
Ferrimolybdite	gcmin:ferrimolybdite	07.GB.30
Ferrinatrite	gcmin:ferrinatrite	07.CC.35
Ferriperbøeite-(Ce)	gcmin:ferriperboeite-ce	09.BG.9.BG
Ferripyrophyllite	gcmin:ferripyrophyllite	09.EC.10
Ferrirockbridgeite	gcmin:ferrirockbridgeite	08.BC.10
Ferrisanidine	gcmin:ferrisanidine	09.FA.30
Ferrisepiolite	gcmin:ferrisepiolite	09.EE.??
Ferrisicklerite	gcmin:ferrisicklerite	08.AB.10
Ferristrunzite	gcmin:ferristrunzite	08.DC.25
Ferrisurite	gcmin:ferrisurite	09.EC.75
Ferrisymplesite	gcmin:ferrisymplesite	08.CE.40
Ferro-actinolite	gcmin:ferro-actinolite	09.DE.10
Ferro-anthophyllite	gcmin:ferro-anthophyllite	09.DD.05
Ferro-edenite	gcmin:ferro-edenite	09.DE.15
Ferro-ferri-fluoro-leakeite	gcmin:ferro-ferri-fluoro-leakeite	09.DE.25
Ferro-ferri-hornblende	gcmin:ferro-ferri-hornblende	09.DE.10
Ferro-ferri-katophorite	gcmin:ferro-ferri-katophorite	09.DE.20
Ferro-ferri-nybøite	gcmin:ferro-ferri-nyboite	09.DE.25
Ferro-ferri-obertiite	gcmin:ferro-ferri-obertiite	09.DE.25
Ferro-ferri-pedrizite	gcmin:ferro-ferri-pedrizite	09.DE.25
Ferro-gedrite	gcmin:ferro-gedrite	
Ferro-glaucophane	gcmin:ferro-glaucophane	09.DE.25
Ferro-holmquistite	gcmin:ferro-holmquistite	
Ferro-hornblende	gcmin:ferro-hornblende	09.DE.10
Ferro-katophorite	gcmin:ferro-katophorite	09.DE.20
Ferro-papikeite	gcmin:ferro-papikeite	09.DD.05
Ferro-pargasite	gcmin:ferro-pargasite	09.DE.15
Ferro-richterite	gcmin:ferro-richterite	09.DE.20
Ferro-taramite	gcmin:ferro-taramite	09.DE.20
Ferro-tschermakite	gcmin:ferro-tschermakite	09.DE.10
Ferroalluaudite	gcmin:ferroalluaudite	08.AC.10
Ferroaluminoceladonite	gcmin:ferroaluminoceladonite	09.EC.15
Ferroberaunite	gcmin:ferroberaunite	08.DH
Ferrobobfergusonite	gcmin:ferrobobfergusonite	08.AC.07
Ferrobustamite	gcmin:ferrobustamite	09.DG.05
Ferrocarpholite	gcmin:ferrocarpholite	09.DB.05
Ferroceladonite	gcmin:ferroceladonite	09.EC.15
Ferrochiavennite	gcmin:ferrochiavennite	09.GF.25
Ferroericssonite	gcmin:ferroericssonite	09.B?
Ferrohexahydrite	gcmin:ferrohexahydrite	07.CB.25
Ferrohögbomite subgroup	<https://w3id.org/geochem/1.0/min/grouplexicon/56066>	
Ferrohögbomite-2N2S	gcmin:ferrohogbomite-2n2s	04.CB.??
Ferroindialite	gcmin:ferroindialite	09.CJ.05
Ferrokentbrooksite	gcmin:ferrokentbrooksite	09.CO.10
Ferrokinoshitalite	gcmin:ferrokinoshitalite	09.EC.35
Ferrokësterite	gcmin:ferrokesterite	02.CB.15a
Ferrolaueite	gcmin:ferrolaueite	08.DC.30
Ferromerrillite	gcmin:ferromerrillite	08.AC.45
Ferronickelplatinum	gcmin:ferronickelplatinum	01.AG.40
Ferronigerite subgroup	<https://w3id.org/geochem/1.0/min/grouplexicon/56068>	
Ferronigerite-2N1S	gcmin:ferronigerite-2n1s	04.FC.20
Ferronigerite-6N6S	gcmin:ferronigerite-6n6s	04.FC.20
Ferronordite-(Ce)	gcmin:ferronordite-ce	09.DO.15
Ferronordite-(La)	gcmin:ferronordite-la	09.DO.15
Ferrorhodonite	gcmin:ferrorhodonite	09.DK
Ferrorockbridgeite	gcmin:ferrorockbridgeite	08.BC.10
Ferrorosemaryite	gcmin:ferrorosemaryite	08.AC.15
Ferrosaponite	gcmin:ferrosaponite	09.EC.45
Ferroselite	gcmin:ferroselite	02.EB.10a
Ferrosilite	gcmin:ferrosilite	09.DA.05
Ferroskutterudite	gcmin:ferroskutterudite	02.EC.05
Ferrostrunzite	gcmin:ferrostrunzite	08.DC.25
Ferrotaaffeite subgroup	<https://w3id.org/geochem/1.0/min/grouplexicon/56072>	
Ferrotaaffeite-2N'2S	gcmin:ferrotaaffeite-2n2s	04.FC.25
Ferrotaaffeite-6N'3S	gcmin:ferrotaaffeite-6n3s	04
Ferrotitanowodginite	gcmin:ferrotitanowodginite	04.DB.40
Ferrotochilinite	gcmin:ferrotochilinite	02.FD.35
Ferrotorryweiserite	gcmin:ferrotorryweiserite	02.CC
Ferrotychite	gcmin:ferrotychite	05.BF.05
Ferrovalleriite	gcmin:ferrovalleriite	02.FD
Ferrowodginite	gcmin:ferrowodginite	04.DB.40
Ferrowyllieite	gcmin:ferrowyllieite	08.AC.15
Ferruccite	gcmin:ferruccite	03.CA.05
Fersmanite	gcmin:fersmanite	09.BE.72
Fersmite	gcmin:fersmite	04.DG.05
Feruvite	gcmin:feruvite	09.CK.05
Fervanite	gcmin:fervanite	04.HG.05
Fetiasite	gcmin:fetiasite	04.JB.05
Fettelite	gcmin:fettelite	02.LA.30
Feynmanite	gcmin:feynmanite	07.EC.50
Fianelite	gcmin:fianelite	08.FC.05
Fibroferrite	gcmin:fibroferrite	07.DC.15
Fibroferrite Group	<https://w3id.org/geochem/1.0/min/grouplexicon/43315>	
Fichtelite	gcmin:fichtelite	10.BA.05
Fiedlerite	gcmin:fiedlerite	03.DC.10
Filatovite	gcmin:filatovite	08.AC.85
Filipstadite	gcmin:filipstadite	04.BB.05
Fillowite	gcmin:fillowite	08.AC.50
Fillowite Group	<https://w3id.org/geochem/1.0/min/grouplexicon/36083>	
Finchite	gcmin:finchite	04.HB.15
Fingerite	gcmin:fingerite	08.BB.80
Finnemanite	gcmin:finnemanite	04.JB.45
Fischesserite	gcmin:fischesserite	02.BA.75
Fivegite	gcmin:fivegite	09.??
Fizélyite	gcmin:fizelyite	02.JB.40a
Flaggite	gcmin:flaggite	07.DF
Flagstaffite	gcmin:flagstaffite	10.CA.10
Flamite	gcmin:flamite	09.AH.45
Fleischerite	gcmin:fleischerite	07.DF.25
Fleischerite Group	<https://w3id.org/geochem/1.0/min/grouplexicon/40118>	
Fletcherite	gcmin:fletcherite	02.DA.05
Flinkite	gcmin:flinkite	08.BE.30
Flinteite	gcmin:flinteite	03.A
Florencite-(Ce)	gcmin:florencite-ce	08.BL.13
Florencite-(La)	gcmin:florencite-la	08.BL.13
Florencite-(Nd)	gcmin:florencite-nd	08.BL.13
Florencite-(Sm)	gcmin:florencite-sm	08.BL.13
Florenskyite Group	<https://w3id.org/geochem/1.0/min/grouplexicon/56001>	
Florensovite	gcmin:florensovite	02.DA.05
Fluckite	gcmin:fluckite	08.CB.15
Fluellite	gcmin:fluellite	08.DE.10
Fluoborite	gcmin:fluoborite	06.AB.50
Fluocerite-(Ce)	gcmin:fluocerite-ce	03.AC.15
Fluocerite-(La)	gcmin:fluocerite-la	03.AC.15
Fluor-buergerite	gcmin:fluor-buergerite	09.CK.05
Fluor-dravite	gcmin:fluor-dravite	09.CK.05
Fluor-elbaite	gcmin:fluor-elbaite	09.CK.??
Fluor-liddicoatite	gcmin:fluor-liddicoatite	09.CK.05
Fluor-schorl	gcmin:fluor-schorl	09.CK.05
Fluor-tsilaisite	gcmin:fluor-tsilaisite	09.CK.??
Fluor-uvite	gcmin:fluor-uvite	09.CK.05
Fluoralforsite	gcmin:fluoralforsite	08.BN
Fluorannite	gcmin:fluorannite	09.EC.20
Fluorapatite	gcmin:fluorapatite	08.BN.05
Fluorapophyllite-(K)	gcmin:fluorapophyllite-k	09.EA.15
Fluorapophyllite-(Na)	gcmin:fluorapophyllite-na	09.EA.15
Fluorarrojadite-(BaFe)	gcmin:fluorarrojadite-bafe	08.BF.05
Fluorarrojadite-(BaNa)	gcmin:fluorarrojadite-bana	08.BF.05
Fluorbarytolamprophyllite	gcmin:fluorbarytolamprophyllite	09.BE.25
Fluorbritholite-(Ce)	gcmin:fluorbritholite-ce	09.AH.25
Fluorbritholite-(Nd)	gcmin:fluorbritholite-nd	09.AH
Fluorbritholite-(Y)	gcmin:fluorbritholite-y	09.AH.25
Fluorcalciobritholite	gcmin:fluorcalciobritholite	09.AH.25
Fluorcalciomicrolite	gcmin:fluorcalciomicrolite	04.DH.15
Fluorcalciopyrochlore	gcmin:fluorcalciopyrochlore	04.DH.15
Fluorcalcioroméite	gcmin:fluorcalcioromeite	04.DH.20
Fluorcanasite	gcmin:fluorcanasite	09.DG.80
Fluorcaphite	gcmin:fluorcaphite	08.BN.05
Fluorcarletonite	gcmin:fluorcarletonite	09.EB.20
Fluorchegemite	gcmin:fluorchegemite	09.A?
Fluorellestadite	gcmin:fluorellestadite	09.AH.25
Fluorite	gcmin:fluorite	03.AB.25
Fluorite Group	<https://w3id.org/geochem/1.0/min/grouplexicon/40182>	
Fluorkyuygenite	gcmin:fluorkyuygenite	04.CC.10
Fluorlamprophyllite	gcmin:fluorlamprophyllite	09.BE.25
Fluorluanshiweiite	gcmin:fluorluanshiweiite	09.EC.10
Fluormayenite	gcmin:fluormayenite	04.CC.10
Fluornatrocoulsellite	gcmin:fluornatrocoulsellite	03
Fluornatromicrolite	gcmin:fluornatromicrolite	04.DH.15
Fluornatropyrochlore	gcmin:fluornatropyrochlore	04.DH
Fluoro-cannilloite	gcmin:fluoro-cannilloite	09.DE.10
Fluoro-edenite	gcmin:fluoro-edenite	09.DE.15
Fluoro-leakeite	gcmin:fluoro-leakeite	09.DE.25
Fluoro-pargasite	gcmin:fluoro-pargasite	09.DE.15
Fluoro-richterite	gcmin:fluoro-richterite	09.DE.20
Fluoro-riebeckite	gcmin:fluoro-riebeckite	09.DE.25
Fluoro-tremolite	gcmin:fluoro-tremolite	09.DE.10
Fluorocronite	gcmin:fluorocronite	03.AB.??
Fluorokinoshitalite	gcmin:fluorokinoshitalite	09.EC.35
Fluorophlogopite	gcmin:fluorophlogopite	09.EC.20
Fluorotetraferriphlogopite	gcmin:fluorotetraferriphlogopite	09.EC.20
Fluorowardite	gcmin:fluorowardite	08.??.
Fluorphosphohedyphane	gcmin:fluorphosphohedyphane	08.BN.05
Fluorpyromorphite	gcmin:fluorpyromorphite	08.BN
Fluorsigaiite	gcmin:fluorsigaiite	08.BN
Fluorstrophite	gcmin:fluorstrophite	08.BN.05
Fluorvesuvianite	gcmin:fluorvesuvianite	09.BG.35
Fluorwavellite	gcmin:fluorwavellite	08.DC.50
Flörkeite	gcmin:florkeite	09.GC.10
Foggite	gcmin:foggite	08.DL.05
Fogoite-(Y)	gcmin:fogoite-y	09.BE.22
Foitite	gcmin:foitite	09.CK.05
Fontanite	gcmin:fontanite	05.EC.05
Foordite	gcmin:foordite	04.DG.15
Foordite Group	<https://w3id.org/geochem/1.0/min/grouplexicon/46761>	
Footemineite	gcmin:footemineite	08.DA.10
Formanite-(Y)	gcmin:formanite-y	07.GA.10
"Formate, Acetate, etc."	strunz:s10_AA	
Formicaite	gcmin:formicaite	10.AA.05
Fornacite	gcmin:fornacite	07.FC.10
Forsterite	gcmin:forsterite	09.AC.05
Forêtite	gcmin:foretite	08.DF.50
Foshagite	gcmin:foshagite	09.DG.15
Fougèrite	gcmin:fougerite	04.FL.05
Fougèrite Group	<https://w3id.org/geochem/1.0/min/grouplexicon/43292>	
Fourmarierite	gcmin:fourmarierite	04.GB.25
Fowlerite	gcmin:fowlerite	09.DK.05
Fraipontite	gcmin:fraipontite	09.ED.15
Francevillite	gcmin:francevillite	04.HB.15
Francevillite Group	<https://w3id.org/geochem/1.0/min/grouplexicon/46858>	
Franciscanite	gcmin:franciscanite	09.AF.75
Francisite	gcmin:francisite	04.JG.25
Franckeite	gcmin:franckeite	02.HF.25b
Franckeite Group	<https://w3id.org/geochem/1.0/min/grouplexicon/39595>	
Francoanellite	gcmin:francoanellite	08.CH.25
Franconite	gcmin:franconite	04.FM.15
Franconite Group	<https://w3id.org/geochem/1.0/min/grouplexicon/46763>	
Frankamenite	gcmin:frankamenite	09.DG.90
Frankdicksonite	gcmin:frankdicksonite	03.AB.25
Frankhawthorneite	gcmin:frankhawthorneite	04.FD.25
Franklinfurnaceite	gcmin:franklinfurnaceite	09.EC.55
Franklinite	gcmin:franklinite	04.BB.05
Franklinphilite	gcmin:franklinphilite	09.EG.40
Fransoletite	gcmin:fransoletite	08.CA.05
Franzinite	gcmin:franzinite	09.FB.05
Françoisite-(Ce)	gcmin:francoisite-ce	08.EC.05
Françoisite-(Nd)	gcmin:francoisite-nd	08.EC.05
Freboldite	gcmin:freboldite	02.CC.05
Fredrikssonite	gcmin:fredrikssonite	06.AB.30
Freedite	gcmin:freedite	04.JB.65
Freibergite	gcmin:freibergite	02.GB.05
Freibergite Subgroup	<https://w3id.org/geochem/1.0/min/grouplexicon/1605>	
Freieslebenite	gcmin:freieslebenite	02.JB.15
Freieslebenite Group	<https://w3id.org/geochem/1.0/min/grouplexicon/46665>	
Fresnoite	gcmin:fresnoite	09.BE.15
Freudenbergite	gcmin:freudenbergite	04.CC.10
Friedelite	gcmin:friedelite	09.EE.10
Friedrichbeckeite	gcmin:friedrichbeckeite	09.CM.??
Friedrichite	gcmin:friedrichite	02.HB.05a
Fritzscheite	gcmin:fritzscheite	04.HB.15
Frohbergite	gcmin:frohbergite	02.EB.10a
Frolovite	gcmin:frolovite	06.AC.20
Frondelite	gcmin:frondelite	08.BC.10
Froodite	gcmin:froodite	02.AC.45a
Fuenzalidaite	gcmin:fuenzalidaite	07.DG.40
Fuettererite	gcmin:fuettererite	04.FE.50
Fukalite	gcmin:fukalite	09.DQ.05
Fukuchilite	gcmin:fukuchilite	02.EB.05a
Fulbrightite	gcmin:fulbrightite	08.CJ.35
Furongite	gcmin:furongite	08.EB.50
Furutobeite	gcmin:furutobeite	02.BE.10
Fülöppite	gcmin:fuloppite	02.HC.10a
Gabrielite	gcmin:gabrielite	02.HD.60
Gabrielsonite	gcmin:gabrielsonite	08.BH.35
Gadolinite Group	<https://w3id.org/geochem/1.0/min/grouplexicon/32181>	
Gadolinite Subgroup	<https://w3id.org/geochem/1.0/min/grouplexicon/50363>	
Gadolinite Supergroup	<https://w3id.org/geochem/1.0/min/grouplexicon/50359>	
Gadolinite-(Ce)	gcmin:gadolinite-ce	09.AJ.20
Gadolinite-(Nd)	gcmin:gadolinite-nd	09.AJ.20
Gadolinite-(Y)	gcmin:gadolinite-y	09.AJ.20
Gagarinite	gcmin:gagarinite	03.AB.35
Gagarinite-(Y)	gcmin:gagarinite-y	03.AB.35
Gageite	gcmin:gageite	09.DH.35
Gahnite	gcmin:gahnite	04.BB.05
Gaidonnayite	gcmin:gaidonnayite	09.DM.15
Gaidonnayite Group	<https://w3id.org/geochem/1.0/min/grouplexicon/470606>	
Gainesite	gcmin:gainesite	08.CA.20
Gainesite Group	<https://w3id.org/geochem/1.0/min/grouplexicon/42029>	
Gaitite	gcmin:gaitite	08.CG.05
Galaxite	gcmin:galaxite	04.BB.05
Galeite	gcmin:galeite	07.BD.10
Galena	gcmin:galena	02.CD.10
Galena Group	<https://w3id.org/geochem/1.0/min/grouplexicon/40331>	
Galenobismutite	gcmin:galenobismutite	02.JC.25e
Galgenbergite-(Ce)	gcmin:galgenbergite-ce	05.CC.40
Galkhaite	gcmin:galkhaite	02.GB.20
Galkhaite Group	<https://w3id.org/geochem/1.0/min/grouplexicon/51816>	
Galliskiite	gcmin:galliskiite	08.DH.65
Gallite	gcmin:gallite	02.CB.10a
Gallobeudantite	gcmin:gallobeudantite	08.BL.05
Galloplumbogummite	gcmin:galloplumbogummite	08.??
Galuskinite	gcmin:galuskinite	09.??
Gamagarite	gcmin:gamagarite	08.BG.05
Gananite	gcmin:gananite	03.AC.20
Ganomalite	gcmin:ganomalite	09.BG.25
Ganophyllite	gcmin:ganophyllite	09.EG.30
Ganophyllite Group	<https://w3id.org/geochem/1.0/min/grouplexicon/35532>	
Ganterite	gcmin:ganterite	09.EC.15
Gaotaiite	gcmin:gaotaiite	02.EB.05a
Garavellite	gcmin:garavellite	02.HA.20
Garnet	gcmin:garnetgroup	
Garnet Group	<https://w3id.org/geochem/1.0/min/grouplexicon/10272>	
Garnet Supergroup	<https://w3id.org/geochem/1.0/min/grouplexicon/1651>	
Garpenbergite	gcmin:garpenbergite	04.BB
Garrelsite	gcmin:garrelsite	09.AJ.15
Garronite Subgroup	<https://w3id.org/geochem/1.0/min/grouplexicon/46692>	
Garronite-Ca	gcmin:garronite-ca	09.GC.05
Garronite-Na	gcmin:garronite-na	09.GC
Gartrellite	gcmin:gartrellite	08.CG.20
Garutiite	gcmin:garutiite	01.AG.05
Garyansellite	gcmin:garyansellite	08.CC.05
Gasparite-(Ce)	gcmin:gasparite-ce	08.AD.50
Gasparite-(La)	gcmin:gasparite-la	08.AD.50
Gaspéite	gcmin:gaspeite	05.AB.05
Gatehouseite	gcmin:gatehouseite	08.BD.10
Gatelite Group	<https://w3id.org/geochem/1.0/min/grouplexicon/51984>	
Gatelite Supergroup	<https://w3id.org/geochem/1.0/min/grouplexicon/52598>	
Gatelite-(Ce)	gcmin:gatelite-ce	09.BG.50
Gatumbaite	gcmin:gatumbaite	08.DJ.10
Gaudefroyite	gcmin:gaudefroyite	06.AB.60
Gaultite	gcmin:gaultite	09.GF.20
Gayite	gcmin:gayite	08.DK.15
Gaylussite	gcmin:gaylussite	05.CB.35
Gazeevite	gcmin:gazeevite	09.AH.40
Gearksutite	gcmin:gearksutite	03.CC.05
Gebhardite	gcmin:gebhardite	04.JB.50
Gedrite	gcmin:gedrite	09.DD.05
Gedrite Root Name Group	<https://w3id.org/geochem/1.0/min/grouplexicon/8963>	
Geerite	gcmin:geerite	02.BA.05
Geffroyite	gcmin:geffroyite	02.BB.15
Gehlenite	gcmin:gehlenite	09.BB.10
Geigerite	gcmin:geigerite	08.CE.05
Geikielite	gcmin:geikielite	04.CB.05
Gelosaite	gcmin:gelosaite	04.DM.30
Geminite	gcmin:geminite	08.CB.30
Gengenbachite	gcmin:gengenbachite	08.CA.65
Genkinite	gcmin:genkinite	02.AC.35a
Genplesite	gcmin:genplesite	07.DF.17
Genthelvite	gcmin:genthelvite	09.FB.10
Geocronite	gcmin:geocronite	02.JB.30a
Georgbarsanovite	gcmin:georgbarsanovite	09.CO.10
Georgbokiite	gcmin:georgbokiite	04.JG.05
George-ericksenite	gcmin:george-ericksenite	04.KD.10
Georgechaoite	gcmin:georgechaoite	09.DM.15
Georgeite	gcmin:georgeite	05.BA.10
Georgerobinsonite	gcmin:georgerobinsonite	07.FB.05
Georgiadesite	gcmin:georgiadesite	04.JB.70
Gerasimovskite	gcmin:gerasimovskite	04.FM.25
Gerdtremmelite	gcmin:gerdtremmelite	08.BE.40
Gerenite-(Y)	gcmin:gerenite-y	09.CJ.45
Gerhardtite	gcmin:gerhardtite	05.NB.05
Germanate	strunz:s09_J	
Germanite	gcmin:germanite	02.CB.30
Germanite Group	<https://w3id.org/geochem/1.0/min/grouplexicon/29283>	
Germanocolusite	gcmin:germanocolusite	02.CB.30
Gerstleyite	gcmin:gerstleyite	02.HE.05
Gerstmannite	gcmin:gerstmannite	09.AE.25
Getchellite	gcmin:getchellite	02.FA.35
Geversite	gcmin:geversite	02.EB.05a
Ghiaraite	gcmin:ghiaraite	03.BB.40
Ghoseite Root Name Group	<https://w3id.org/geochem/1.0/min/grouplexicon/43530>	
Gianellaite	gcmin:gianellaite	03.DD.30
Gibbsite	gcmin:gibbsite	04.FE.10
Giessenite	gcmin:giessenite	02.HB.10b
Giftgrubeite	gcmin:giftgrubeite	08.CB.10
Gilalite	gcmin:gilalite	09.HE.05
Gillardite	gcmin:gillardite	03.DA.10c
Gillespite	gcmin:gillespite	09.EA.05
Gillespite Group	<https://w3id.org/geochem/1.0/min/grouplexicon/46997>	
Gillulyite	gcmin:gillulyite	02.JC.10
Gilmarite	gcmin:gilmarite	08.BE.25
Giniite	gcmin:giniite	08.DB.50
Ginorite	gcmin:ginorite	06.FC.15
Giorgiosite	gcmin:giorgiosite	0
Giraudite	gcmin:giraudite	02.GB.05
Giraudite Subgroup	<https://w3id.org/geochem/1.0/min/grouplexicon/54911>	
Girvasite	gcmin:girvasite	08.DO.05
Gismondine	gcmin:gismondine	09.GC.05
Gismondine Subgroup	<https://w3id.org/geochem/1.0/min/grouplexicon/10315>	
Gismondine-Sr	gcmin:gismondine-sr	09.GC
Gittinsite	gcmin:gittinsite	09.BC.05
Giuseppettite	gcmin:giuseppettite	09.FB.05
Gjerdingenite-Fe	gcmin:gjerdingenite-fe	09.CE.30c
Gjerdingenite-Mn	gcmin:gjerdingenite-mn	09.CE.30c
Gjerdingenite-Na	gcmin:gjerdingenite-na	09.CE.30c
Gladite	gcmin:gladite	02.HB.05a
Gladiusite	gcmin:gladiusite	08.DF.40
Glagolevite	gcmin:glagolevite	09.EC.55
Glass	gcmin:glass	
Glauberite	gcmin:glauberite	07.AD.25
Glaucocerinite	gcmin:glaucocerinite	07.DD.35
Glaucocerinite Group	<https://w3id.org/geochem/1.0/min/grouplexicon/43294>	
Glaucochroite	gcmin:glaucochroite	09.AC.05
Glaucodot	gcmin:glaucodot	02.EB.10c
Glaucophane	gcmin:glaucophane	09.DE.25
Glaucophane Root Name Group	<https://w3id.org/geochem/1.0/min/grouplexicon/8962>	
Glaukosphaerite	gcmin:glaukosphaerite	05.BA.10
Glucine	gcmin:glucine	08.DA.45
Glushinskite	gcmin:glushinskite	10.AB.10
Gmelinite Subgroup	<https://w3id.org/geochem/1.0/min/grouplexicon/1714>	
Gmelinite-Ca	gcmin:gmelinite-ca	09.GD.05
Gmelinite-K	gcmin:gmelinite-k	09.GD.05
Gmelinite-Na	gcmin:gmelinite-na	09.GD.05
Gobbinsite	gcmin:gobbinsite	09.GC.05
Godlevskite	gcmin:godlevskite	02.BB.15
Godovikovite	gcmin:godovikovite	07.AC.20
Goedkenite	gcmin:goedkenite	08.BG.05
Goethite	gcmin:goethite	04.FD.10
Gold	gcmin:gold	01.AA.05
Goldfieldite	gcmin:goldfieldite	02.GB.05
Goldfieldite Subgroup	<https://w3id.org/geochem/1.0/min/grouplexicon/54912>	
Goldhillite	gcmin:goldhillite	08.DE
Goldichite	gcmin:goldichite	07.CC.40
Goldmanite	gcmin:goldmanite	09.AD.25
Goldquarryite	gcmin:goldquarryite	08.DB.65
Golyshevite	gcmin:golyshevite	09.CO.10
Gonnardite	gcmin:gonnardite	09.GA.05
Gonyerite	gcmin:gonyerite	09.EC.55
Goosecreekite	gcmin:goosecreekite	09.GB.25
Gorceixite	gcmin:gorceixite	08.BL.10
Gordaite	gcmin:gordaite	07.DF.50
Gordonite	gcmin:gordonite	08.DC.30
Gorerite	gcmin:gorerite	04.CC.22
Gormanite	gcmin:gormanite	08.DC.45
Gortdrumite	gcmin:gortdrumite	02.BD.10
Goryainovite	gcmin:goryainovite	08.BN.15
Goslarite	gcmin:goslarite	07.CB.40
Gottardiite	gcmin:gottardiite	09.GF.10
Gottlobite	gcmin:gottlobite	08.BH.35
Goudeyite	gcmin:goudeyite	08.DL.15
Gowerite	gcmin:gowerite	06.EC.10
Goyazite	gcmin:goyazite	08.BL.10
Graemite	gcmin:graemite	04.JM.15
Graeserite	gcmin:graeserite	04.JB.55
Graftonite	gcmin:graftonite	08.AB.20
Graftonite Group	<https://w3id.org/geochem/1.0/min/grouplexicon/51596>	
Graftonite-(Ca)	gcmin:graftonite-ca	08.AB.20
Graftonite-(Mn)	gcmin:graftonite-mn	08.AB.20
Gramaccioliite-(Y)	gcmin:gramaccioliite-y	04.CC.40
Grandaite	gcmin:grandaite	08
Grandidierite	gcmin:grandidierite	09.AJ.05
Grandreefite	gcmin:grandreefite	07.BD.45
Grandviewite	gcmin:grandviewite	07.BB.60
Grantsite	gcmin:grantsite	04.HG.55
Graphite	gcmin:graphite	01.CB.05a
Gratianite	gcmin:gratianite	02.HA.20
Gratonite	gcmin:gratonite	02.JB.55
Grattarolaite	gcmin:grattarolaite	08.BE.10
Graulichite-(Ce)	gcmin:graulichite-ce	08.BL.13
Graulichite-(La)	gcmin:graulichite-la	08.BL
Gravegliaite	gcmin:gravegliaite	04.JE.05
Grayite	gcmin:grayite	08.CJ.45
Gra?ianite	gcmin:gratianite	02.HA.20
Grechishchevite	gcmin:grechishchevite	02.FC.15c
Greenalite	gcmin:greenalite	09.ED.15
Greenockite	gcmin:greenockite	02.CB.45
Greenwoodite	gcmin:greenwoodite	09.??
Gregoryite	gcmin:gregoryite	05.AA.10
Greifensteinite	gcmin:greifensteinite	08.DA.10
Greigite	gcmin:greigite	02.DA.05
Grenmarite	gcmin:grenmarite	09.BE.25
Grguricite	gcmin:grguricite	05.DB
Griceite	gcmin:griceite	03.AA.20
Griffinite	gcmin:griffinite	04.CB.15
Grimaldiite	gcmin:grimaldiite	04.FE.20
Grimmite	gcmin:grimmite	02.DA
Grimselite	gcmin:grimselite	05.ED.35
Griphite	gcmin:griphite	08.BF.15
Grischunite	gcmin:grischunite	08.CF.05
Groatite	gcmin:groatite	08.AC.10
Grokhovskyite	gcmin:grokhovskyite	02.CA.25
Grossite	gcmin:grossite	04.CC.15
Grossular	gcmin:grossular	09.AD.25
Groutite	gcmin:groutite	04.FD.10
Grumantite	gcmin:grumantite	09.EH.10
Grumiplucite	gcmin:grumiplucite	02.JA.05b
Grundmannite	gcmin:grundmannite	02.HA.05
Grunerite	gcmin:grunerite	09.DE.05
Gruzdevite	gcmin:gruzdevite	02.GA.30
Guanacoite	gcmin:guanacoite	08.DD.10
Guanajuatite	gcmin:guanajuatite	02.DB.05
Guanine	gcmin:guanine	10.CA.30
Guarinoite	gcmin:guarinoite	07.DD.80
