s	label	mindatid	mindatLongid	strunz10.1	strunz10.2	strunz10.3	parent	skos:broader	
gsmin:zharchikhite	Zharchikhite	4399	1:1:4399:7	3	AC	5	s03_AC	gkosg:s03_AC	gsmin:zharchikhite  gsmin:mindaturi  <https://www.mindat.org/1:1:4399:7> .
gsmin:molysite	Molysite	2749	1:1:2749:2	3	AC	10	s03_AC	gkosg:s03_AC	gsmin:molysite  gsmin:mindaturi  <https://www.mindat.org/1:1:2749:2> .
gsmin:fluocerite-la	Fluocerite-(La)	1568	1:1:1568:0	3	AC	15	s03_AC	gkosg:s03_AC	gsmin:fluocerite-la  gsmin:mindaturi  <https://www.mindat.org/1:1:1568:0> .
gsmin:gananite	Gananite	1646	1:1:1646:5	3	AC	20	s03_AC	gkosg:s03_AC	gsmin:gananite  gsmin:mindaturi  <https://www.mindat.org/1:1:1646:5> .
gsmin:hydrohalite	Hydrohalite	1975	1:1:1975:6	3	BA	5	s03_BA	gkosg:s03_BA	gsmin:hydrohalite  gsmin:mindaturi  <https://www.mindat.org/1:1:1975:6> .
gsmin:carnallite	Carnallite	906	1:1:906:1	3	BA	10	s03_BA	gkosg:s03_BA	gsmin:carnallite  gsmin:mindaturi  <https://www.mindat.org/1:1:906:1> .
gsmin:eriochalcite	Eriochalcite	1398	1:1:1398:3	3	BB	5	s03_BB	gkosg:s03_BB	gsmin:eriochalcite  gsmin:mindaturi  <https://www.mindat.org/1:1:1398:3> .
gsmin:rokuhnite	Rokühnite	3440	1:1:3440:7	3	BB	10	s03_BB	gkosg:s03_BB	gsmin:rokuhnite  gsmin:mindaturi  <https://www.mindat.org/1:1:3440:7> .
gsmin:bischofite	Bischofite	681	1:1:681:5	3	BB	15	s03_BB	gkosg:s03_BB	gsmin:bischofite  gsmin:mindaturi  <https://www.mindat.org/1:1:681:5> .
gsmin:nickelbischofite	Nickelbischofite	2892	1:1:2892:5	3	BB	20	s03_BB	gkosg:s03_BB	gsmin:nickelbischofite  gsmin:mindaturi  <https://www.mindat.org/1:1:2892:5> .
gsmin:sinjarite	Sinjarite	3673	1:1:3673:9	3	BB	25	s03_BB	gkosg:s03_BB	gsmin:sinjarite  gsmin:mindaturi  <https://www.mindat.org/1:1:3673:9> .
gsmin:antarcticite	Antarcticite	251	1:1:251:8	3	BB	30	s03_BB	gkosg:s03_BB	gsmin:antarcticite  gsmin:mindaturi  <https://www.mindat.org/1:1:251:8> .
gsmin:tachyhydrite	Tachyhydrite	3865	1:1:3865:8	3	BB	35	s03_BB	gkosg:s03_BB	gsmin:tachyhydrite  gsmin:mindaturi  <https://www.mindat.org/1:1:3865:8> .
gsmin:chloraluminite	Chloraluminite	1012	1:1:1012:8	3	BC	5	s03_BC	gkosg:s03_BC	gsmin:chloraluminite  gsmin:mindaturi  <https://www.mindat.org/1:1:1012:8> .
gsmin:cadwaladerite	Cadwaladerite	845	1:1:845:1	3	BD	5	s03_BD	gkosg:s03_BD	gsmin:cadwaladerite  gsmin:mindaturi  <https://www.mindat.org/1:1:845:1> .
gsmin:lesukite	Lesukite	7153	1:1:7153:2	3	BD	10	s03_BD	gkosg:s03_BD	gsmin:lesukite  gsmin:mindaturi  <https://www.mindat.org/1:1:7153:2> .
gsmin:korshunovskite	Korshunovskite	2256	1:1:2256:5	3	BD	15	s03_BD	gkosg:s03_BD	gsmin:korshunovskite  gsmin:mindaturi  <https://www.mindat.org/1:1:2256:5> .
gsmin:nepskoeite	Nepskoeite	7189	1:1:7189:1	3	BD	20	s03_BD	gkosg:s03_BD	gsmin:nepskoeite  gsmin:mindaturi  <https://www.mindat.org/1:1:7189:1> .
gsmin:koenenite	Koenenite	2306	1:1:2306:7	3	BD	25	s03_BD	gkosg:s03_BD	gsmin:koenenite  gsmin:mindaturi  <https://www.mindat.org/1:1:2306:7> .
gsmin:ferruccite	Ferruccite	1537	1:1:1537:6	3	CA	5	s03_CA	gkosg:s03_CA	gsmin:ferruccite  gsmin:mindaturi  <https://www.mindat.org/1:1:1537:6> .
gsmin:avogadrite	Avogadrite	438	1:1:438:5	3	CA	10	s03_CA	gkosg:s03_CA	gsmin:avogadrite  gsmin:mindaturi  <https://www.mindat.org/1:1:438:5> .
gsmin:barberiite	Barberiite	513	1:1:513:5	3	CA	10	s03_CA	gkosg:s03_CA	gsmin:barberiite  gsmin:mindaturi  <https://www.mindat.org/1:1:513:5> .
gsmin:cryolithionite	Cryolithionite	1162	1:1:1162:0	3	CB	5	s03_CB	gkosg:s03_CB	gsmin:cryolithionite  gsmin:mindaturi  <https://www.mindat.org/1:1:1162:0> .
gsmin:cryolite	Cryolite	1161	1:1:1161:3	3	CB	15	s03_CB	gkosg:s03_CB	gsmin:cryolite  gsmin:mindaturi  <https://www.mindat.org/1:1:1161:3> .
gsmin:elpasolite	Elpasolite	1369	1:1:1369:3	3	CB	15	s03_CB	gkosg:s03_CB	gsmin:elpasolite  gsmin:mindaturi  <https://www.mindat.org/1:1:1369:3> .
gsmin:simmonsite	Simmonsite	7297	1:1:7297:3	3	CB	15	s03_CB	gkosg:s03_CB	gsmin:simmonsite  gsmin:mindaturi  <https://www.mindat.org/1:1:7297:3> .
gsmin:colquiriite	Colquiriite	1111	1:1:1111:8	3	CB	20	s03_CB	gkosg:s03_CB	gsmin:colquiriite  gsmin:mindaturi  <https://www.mindat.org/1:1:1111:8> .
gsmin:weberite	Weberite	4253	1:1:4253:2	3	CB	25	s03_CB	gkosg:s03_CB	gsmin:weberite  gsmin:mindaturi  <https://www.mindat.org/1:1:4253:2> .
gsmin:karasugite	Karasugite	2157	1:1:2157:5	3	CB	30	s03_CB	gkosg:s03_CB	gsmin:karasugite  gsmin:mindaturi  <https://www.mindat.org/1:1:2157:5> .
gsmin:usovite	Usovite	4121	1:1:4121:4	3	CB	35	s03_CB	gkosg:s03_CB	gsmin:usovite  gsmin:mindaturi  <https://www.mindat.org/1:1:4121:4> .
gsmin:ussingite	Ussingite	4122	1:1:4122:1	3	CB	35	s03_CB	gkosg:s03_CB	gsmin:ussingite  gsmin:mindaturi  <https://www.mindat.org/1:1:4122:1> .
gsmin:pachnolite	Pachnolite	3058	1:1:3058:4	3	CB	40	s03_CB	gkosg:s03_CB	gsmin:pachnolite  gsmin:mindaturi  <https://www.mindat.org/1:1:3058:4> .
gsmin:thomsenolite	Thomsenolite	3940	1:1:3940:2	3	CB	40	s03_CB	gkosg:s03_CB	gsmin:thomsenolite  gsmin:mindaturi  <https://www.mindat.org/1:1:3940:2> .
gsmin:carlhintzeite	Carlhintzeite	900	1:1:900:7	3	CB	45	s03_CB	gkosg:s03_CB	gsmin:carlhintzeite  gsmin:mindaturi  <https://www.mindat.org/1:1:900:7> .
gsmin:yaroslavite	Yaroslavite	4353	1:1:4353:9	3	CB	50	s03_CB	gkosg:s03_CB	gsmin:yaroslavite  gsmin:mindaturi  <https://www.mindat.org/1:1:4353:9> .
gsmin:gearksutite	Gearksutite	1663	1:1:1663:2	3	CC	5	s03_CC	gkosg:s03_CC	gsmin:gearksutite  gsmin:mindaturi  <https://www.mindat.org/1:1:1663:2> .
gsmin:acuminite	Acuminite	19	1:1:19:8	3	CC	10	s03_CC	gkosg:s03_CC	gsmin:acuminite  gsmin:mindaturi  <https://www.mindat.org/1:1:19:8> .
gsmin:tikhonenkovite	Tikhonenkovite	3961	1:1:3961:7	3	CC	10	s03_CC	gkosg:s03_CC	gsmin:tikhonenkovite  gsmin:mindaturi  <https://www.mindat.org/1:1:3961:7> .
gsmin:artroeite	Artroeite	378	1:1:378:4	3	CC	15	s03_CC	gkosg:s03_CC	gsmin:artroeite  gsmin:mindaturi  <https://www.mindat.org/1:1:378:4> .
gsmin:calcjarlite	Calcjarlite	861	1:1:861:9	3	CC	20	s03_CC	gkosg:s03_CC	gsmin:calcjarlite  gsmin:mindaturi  <https://www.mindat.org/1:1:861:9> .
gsmin:jarlite	Jarlite	2076	1:1:2076:9	3	CC	20	s03_CC	gkosg:s03_CC	gsmin:jarlite  gsmin:mindaturi  <https://www.mindat.org/1:1:2076:9> .
gsmin:jorgensenite	Jørgensenite	7121	1:1:7121:1	3	CC	20	s03_CC	gkosg:s03_CC	gsmin:jorgensenite  gsmin:mindaturi  <https://www.mindat.org/1:1:7121:1> .
gsmin:rosenbergite	Rosenbergite	3453	1:1:3453:7	3	CD	5	s03_CD	gkosg:s03_CD	gsmin:rosenbergite  gsmin:mindaturi  <https://www.mindat.org/1:1:3453:7> .
gsmin:prosopite	Prosopite	3287	1:1:3287:8	3	CD	10	s03_CD	gkosg:s03_CD	gsmin:prosopite  gsmin:mindaturi  <https://www.mindat.org/1:1:3287:8> .
gsmin:chiolite	Chiolite	1006	1:1:1006:7	3	CE	5	s03_CE	gkosg:s03_CE	gsmin:chiolite  gsmin:mindaturi  <https://www.mindat.org/1:1:1006:7> .
gsmin:bogvadite	Bøgvadite	705	1:1:705:4	3	CF	15	s03_CF	gkosg:s03_CF	gsmin:bogvadite  gsmin:mindaturi  <https://www.mindat.org/1:1:705:4> .
gsmin:stenonite	Stenonite	3762	1:1:3762:0	3	CG	5	s03_CG	gkosg:s03_CG	gsmin:stenonite  gsmin:mindaturi  <https://www.mindat.org/1:1:3762:0> .
gsmin:chukhrovite-ce	Chukhrovite-(Ce)	1044	1:1:1044:9	3	CG	10	s03_CG	gkosg:s03_CG	gsmin:chukhrovite-ce  gsmin:mindaturi  <https://www.mindat.org/1:1:1044:9> .
gsmin:chukhrovite-y	Chukhrovite-(Y)	1045	1:1:1045:6	3	CG	10	s03_CG	gkosg:s03_CG	gsmin:chukhrovite-y  gsmin:mindaturi  <https://www.mindat.org/1:1:1045:6> .
gsmin:meniaylovite	Meniaylovite	26383	1:1:26383:6	3	CG	10	s03_CG	gkosg:s03_CG	gsmin:meniaylovite  gsmin:mindaturi  <https://www.mindat.org/1:1:26383:6> .
gsmin:creedite	Creedite	1151	1:1:1151:4	3	CG	15	s03_CG	gkosg:s03_CG	gsmin:creedite  gsmin:mindaturi  <https://www.mindat.org/1:1:1151:4> .
gsmin:thermessaite	Thermessaite	32287	1:1:32287:4	3	CG	25	s03_CG	gkosg:s03_CG	gsmin:thermessaite  gsmin:mindaturi  <https://www.mindat.org/1:1:32287:4> .
gsmin:malladrite	Malladrite	2554	1:1:2554:2	3	CH	5	s03_CH	gkosg:s03_CH	gsmin:malladrite  gsmin:mindaturi  <https://www.mindat.org/1:1:2554:2> .
gsmin:bararite	Bararite	511	1:1:511:7	3	CH	10	s03_CH	gkosg:s03_CH	gsmin:bararite  gsmin:mindaturi  <https://www.mindat.org/1:1:511:7> .
gsmin:cryptohalite	Cryptohalite	1163	1:1:1163:7	3	CH	15	s03_CH	gkosg:s03_CH	gsmin:cryptohalite  gsmin:mindaturi  <https://www.mindat.org/1:1:1163:7> .
gsmin:hieratite	Hieratite	1900	1:1:1900:8	3	CH	15	s03_CH	gkosg:s03_CH	gsmin:hieratite  gsmin:mindaturi  <https://www.mindat.org/1:1:1900:8> .
gsmin:demartinite	Demartinite	30908	1:1:30908:6	3	CH	20	s03_CH	gkosg:s03_CH	gsmin:demartinite  gsmin:mindaturi  <https://www.mindat.org/1:1:30908:6> .
gsmin:knasibfite	Knasibfite	31406	1:1:31406:0	3	CH	25	s03_CH	gkosg:s03_CH	gsmin:knasibfite  gsmin:mindaturi  <https://www.mindat.org/1:1:31406:0> .
gsmin:chlormanganokalite	Chlormanganokalite	1019	1:1:1019:7	3	CJ	5	s03_CJ	gkosg:s03_CJ	gsmin:chlormanganokalite  gsmin:mindaturi  <https://www.mindat.org/1:1:1019:7> .
gsmin:rinneite	Rinneite	3423	1:1:3423:0	3	CJ	5	s03_CJ	gkosg:s03_CJ	gsmin:rinneite  gsmin:mindaturi  <https://www.mindat.org/1:1:3423:0> .
gsmin:erythrosiderite	Erythrosiderite	1408	1:1:1408:9	3	CJ	10	s03_CJ	gkosg:s03_CJ	gsmin:erythrosiderite  gsmin:mindaturi  <https://www.mindat.org/1:1:1408:9> .
gsmin:kremersite	Kremersite	2273	1:1:2273:2	3	CJ	10	s03_CJ	gkosg:s03_CJ	gsmin:kremersite  gsmin:mindaturi  <https://www.mindat.org/1:1:2273:2> .
gsmin:mitscherlichite	Mitscherlichite	2729	1:1:2729:4	3	CJ	15	s03_CJ	gkosg:s03_CJ	gsmin:mitscherlichite  gsmin:mindaturi  <https://www.mindat.org/1:1:2729:4> .
gsmin:douglasite	Douglasite	1314	1:1:1314:3	3	CJ	20	s03_CJ	gkosg:s03_CJ	gsmin:douglasite  gsmin:mindaturi  <https://www.mindat.org/1:1:1314:3> .
gsmin:zirklerite	Zirklerite	4426	1:1:4426:0	3	CJ	30	s03_CJ	gkosg:s03_CJ	gsmin:zirklerite  gsmin:mindaturi  <https://www.mindat.org/1:1:4426:0> .
gsmin:steropesite	Steropesite	38692	1:1:38692:4	3	CK	5	s03_CK	gkosg:s03_CK	gsmin:steropesite  gsmin:mindaturi  <https://www.mindat.org/1:1:38692:4> .
gsmin:ammineite	Ammineite	38895	1:1:38895:9	3	CO	??	s03_CO	gkosg:s03_CO	gsmin:ammineite  gsmin:mindaturi  <https://www.mindat.org/1:1:38895:9> .
gsmin:vladkrivovichevite	Vladkrivovichevite	42043	1:1:42043:1	3	D	  	s03_D	gkosg:s03_D	gsmin:vladkrivovichevite  gsmin:mindaturi  <https://www.mindat.org/1:1:42043:1> .
gsmin:melanothallite	Melanothallite	2623	1:1:2623:5	3	DA	5	s03_DA	gkosg:s03_DA	gsmin:melanothallite  gsmin:mindaturi  <https://www.mindat.org/1:1:2623:5> .
gsmin:atacamite	Atacamite	406	1:1:406:6	3	DA	10a	s03_DA	gkosg:s03_DA	gsmin:atacamite  gsmin:mindaturi  <https://www.mindat.org/1:1:406:6> .
gsmin:hibbingite	Hibbingite	1896	1:1:1896:4	3	DA	10a	s03_DA	gkosg:s03_DA	gsmin:hibbingite  gsmin:mindaturi  <https://www.mindat.org/1:1:1896:4> .
gsmin:kempite	Kempite	2183	1:1:2183:4	3	DA	10a	s03_DA	gkosg:s03_DA	gsmin:kempite  gsmin:mindaturi  <https://www.mindat.org/1:1:2183:4> .
gsmin:belloite	Belloite	7062	1:1:7062:7	3	DA	10b	s03_DA	gkosg:s03_DA	gsmin:belloite  gsmin:mindaturi  <https://www.mindat.org/1:1:7062:7> .
gsmin:belovite-ce	Belovite-(Ce)	7062	1:1:7062:7	3	DA	10b	s03_DA	gkosg:s03_DA	gsmin:belovite-ce  gsmin:mindaturi  <https://www.mindat.org/1:1:7062:7> .
gsmin:botallackite	Botallackite	732	1:1:732:8	3	DA	10b	s03_DA	gkosg:s03_DA	gsmin:botallackite  gsmin:mindaturi  <https://www.mindat.org/1:1:732:8> .
gsmin:clinoatacamite	Clinoatacamite	1065	1:1:1065:4	3	DA	10b	s03_DA	gkosg:s03_DA	gsmin:clinoatacamite  gsmin:mindaturi  <https://www.mindat.org/1:1:1065:4> .
gsmin:gillardite	Gillardite	31405	1:1:31405:1	3	DA	10c	s03_DA	gkosg:s03_DA	gsmin:gillardite  gsmin:mindaturi  <https://www.mindat.org/1:1:31405:1> .
gsmin:haydeeite	Haydeeite	31500	1:1:31500:5	3	DA	10c	s03_DA	gkosg:s03_DA	gsmin:haydeeite  gsmin:mindaturi  <https://www.mindat.org/1:1:31500:5> .
gsmin:herbertsmithite	Herbertsmithite	26600	1:1:26600:0	3	DA	10c	s03_DA	gkosg:s03_DA	gsmin:herbertsmithite  gsmin:mindaturi  <https://www.mindat.org/1:1:26600:0> .
gsmin:kapellasite	Kapellasite	27446	1:1:27446:1	3	DA	10c	s03_DA	gkosg:s03_DA	gsmin:kapellasite  gsmin:mindaturi  <https://www.mindat.org/1:1:27446:1> .
gsmin:paratacamite	Paratacamite	3115	1:1:3115:4	3	DA	10c	s03_DA	gkosg:s03_DA	gsmin:paratacamite  gsmin:mindaturi  <https://www.mindat.org/1:1:3115:4> .
gsmin:barlowite	Barlowite	40276	1:1:40276:3	3	DA	15	s03_DA	gkosg:s03_DA	gsmin:barlowite  gsmin:mindaturi  <https://www.mindat.org/1:1:40276:3> .
gsmin:claringbullite	Claringbullite	1058	1:1:1058:6	3	DA	15	s03_DA	gkosg:s03_DA	gsmin:claringbullite  gsmin:mindaturi  <https://www.mindat.org/1:1:1058:6> .
gsmin:simonkolleite	Simonkolleite	3668	1:1:3668:5	3	DA	20	s03_DA	gkosg:s03_DA	gsmin:simonkolleite  gsmin:mindaturi  <https://www.mindat.org/1:1:3668:5> .
gsmin:buttgenbachite	Buttgenbachite	811	1:1:811:4	3	DA	25	s03_DA	gkosg:s03_DA	gsmin:buttgenbachite  gsmin:mindaturi  <https://www.mindat.org/1:1:811:4> .
gsmin:connellite	Connellite	1120	1:1:1120:0	3	DA	25	s03_DA	gkosg:s03_DA	gsmin:connellite  gsmin:mindaturi  <https://www.mindat.org/1:1:1120:0> .
gsmin:abhurite	Abhurite	4	1:1:4:2	3	DA	30	s03_DA	gkosg:s03_DA	gsmin:abhurite  gsmin:mindaturi  <https://www.mindat.org/1:1:4:2> .
gsmin:ponomarevite	Ponomarevite	3263	1:1:3263:2	3	DA	35	s03_DA	gkosg:s03_DA	gsmin:ponomarevite  gsmin:mindaturi  <https://www.mindat.org/1:1:3263:2> .
gsmin:anthonyite	Anthonyite	253	1:1:253:6	3	DA	40	s03_DA	gkosg:s03_DA	gsmin:anthonyite  gsmin:mindaturi  <https://www.mindat.org/1:1:253:6> .
gsmin:calumetite	Calumetite	870	1:1:870:7	3	DA	40	s03_DA	gkosg:s03_DA	gsmin:calumetite  gsmin:mindaturi  <https://www.mindat.org/1:1:870:7> .
gsmin:khaidarkanite	Khaidarkanite	7135	1:1:7135:8	3	DA	45	s03_DA	gkosg:s03_DA	gsmin:khaidarkanite  gsmin:mindaturi  <https://www.mindat.org/1:1:7135:8> .
gsmin:bobkingite	Bobkingite	11338	1:1:11338:2	3	DA	50	s03_DA	gkosg:s03_DA	gsmin:bobkingite  gsmin:mindaturi  <https://www.mindat.org/1:1:11338:2> .
gsmin:avdoninite	Avdoninite	27388	1:1:27388:8	3	DA	55	s03_DA	gkosg:s03_DA	gsmin:avdoninite  gsmin:mindaturi  <https://www.mindat.org/1:1:27388:8> .
gsmin:rickturnerite	Rickturnerite	40290	1:1:40290:3	3	DB	??	s03_DB	gkosg:s03_DB	gsmin:rickturnerite  gsmin:mindaturi  <https://www.mindat.org/1:1:40290:3> .
gsmin:diaboleite	Diaboleite	1276	1:1:1276:4	3	DB	5	s03_DB	gkosg:s03_DB	gsmin:diaboleite  gsmin:mindaturi  <https://www.mindat.org/1:1:1276:4> .
gsmin:pseudoboleite	Pseudoboleite	3301	1:1:3301:1	3	DB	10	s03_DB	gkosg:s03_DB	gsmin:pseudoboleite  gsmin:mindaturi  <https://www.mindat.org/1:1:3301:1> .
gsmin:boleite	Boleite	712	1:1:712:4	3	DB	15	s03_DB	gkosg:s03_DB	gsmin:boleite  gsmin:mindaturi  <https://www.mindat.org/1:1:712:4> .
gsmin:cumengeite	Cumengeite	6894	1:1:6894:5	3	DB	20	s03_DB	gkosg:s03_DB	gsmin:cumengeite  gsmin:mindaturi  <https://www.mindat.org/1:1:6894:5> .
gsmin:bideauxite	Bideauxite	662	1:1:662:0	3	DB	25	s03_DB	gkosg:s03_DB	gsmin:bideauxite  gsmin:mindaturi  <https://www.mindat.org/1:1:662:0> .
gsmin:chloroxiphite	Chloroxiphite	953	1:1:953:9	3	DB	30	s03_DB	gkosg:s03_DB	gsmin:chloroxiphite  gsmin:mindaturi  <https://www.mindat.org/1:1:953:9> .
gsmin:hematophanite	Hematophanite	1858	1:1:1858:2	3	DB	35	s03_DB	gkosg:s03_DB	gsmin:hematophanite  gsmin:mindaturi  <https://www.mindat.org/1:1:1858:2> .
gsmin:asisite	Asisite	391	1:1:391:5	3	DB	40	s03_DB	gkosg:s03_DB	gsmin:asisite  gsmin:mindaturi  <https://www.mindat.org/1:1:391:5> .
gsmin:parkinsonite	Parkinsonite	3123	1:1:3123:9	3	DB	40	s03_DB	gkosg:s03_DB	gsmin:parkinsonite  gsmin:mindaturi  <https://www.mindat.org/1:1:3123:9> .
gsmin:murdochite	Murdochite	2812	1:1:2812:3	3	DB	45	s03_DB	gkosg:s03_DB	gsmin:murdochite  gsmin:mindaturi  <https://www.mindat.org/1:1:2812:3> .
gsmin:yedlinite	Yedlinite	4359	1:1:4359:1	3	DB	50	s03_DB	gkosg:s03_DB	gsmin:yedlinite  gsmin:mindaturi  <https://www.mindat.org/1:1:4359:1> .
gsmin:laurionite	Laurionite	2343	1:1:2343:2	3	DC	5	s03_DC	gkosg:s03_DC	gsmin:laurionite  gsmin:mindaturi  <https://www.mindat.org/1:1:2343:2> .
gsmin:paralaurionite	Paralaurionite	3096	1:1:3096:6	3	DC	5	s03_DC	gkosg:s03_DC	gsmin:paralaurionite  gsmin:mindaturi  <https://www.mindat.org/1:1:3096:6> .
gsmin:fiedlerite	Fiedlerite	1547	1:1:1547:5	3	DC	10	s03_DC	gkosg:s03_DC	gsmin:fiedlerite  gsmin:mindaturi  <https://www.mindat.org/1:1:1547:5> .
gsmin:penfieldite	Penfieldite	3146	1:1:3146:8	3	DC	15	s03_DC	gkosg:s03_DC	gsmin:penfieldite  gsmin:mindaturi  <https://www.mindat.org/1:1:3146:8> .
gsmin:laurelite	Laurelite	2342	1:1:2342:5	3	DC	20	s03_DC	gkosg:s03_DC	gsmin:laurelite  gsmin:mindaturi  <https://www.mindat.org/1:1:2342:5> .
gsmin:bismoclite	Bismoclite	683	1:1:683:3	3	DC	25	s03_DC	gkosg:s03_DC	gsmin:bismoclite  gsmin:mindaturi  <https://www.mindat.org/1:1:683:3> .
gsmin:daubreeite	Daubréeite	1229	1:1:1229:0	3	DC	25	s03_DC	gkosg:s03_DC	gsmin:daubreeite  gsmin:mindaturi  <https://www.mindat.org/1:1:1229:0> .
gsmin:matlockite	Matlockite	2593	1:1:2593:1	3	DC	25	s03_DC	gkosg:s03_DC	gsmin:matlockite  gsmin:mindaturi  <https://www.mindat.org/1:1:2593:1> .
gsmin:rorisite	Rorisite	3446	1:1:3446:9	3	DC	25	s03_DC	gkosg:s03_DC	gsmin:rorisite  gsmin:mindaturi  <https://www.mindat.org/1:1:3446:9> .
gsmin:zavaritskite	Zavaritskite	4389	1:1:4389:8	3	DC	25	s03_DC	gkosg:s03_DC	gsmin:zavaritskite  gsmin:mindaturi  <https://www.mindat.org/1:1:4389:8> .
gsmin:zhangpeishanite	Zhangpeishanite	31501	1:1:31501:4	3	DC	25	s03_DC	gkosg:s03_DC	gsmin:zhangpeishanite  gsmin:mindaturi  <https://www.mindat.org/1:1:31501:4> .
gsmin:nadorite	Nadorite	2827	1:1:2827:7	3	DC	30	s03_DC	gkosg:s03_DC	gsmin:nadorite  gsmin:mindaturi  <https://www.mindat.org/1:1:2827:7> .
gsmin:perite	Perite	3162	1:1:3162:8	3	DC	30	s03_DC	gkosg:s03_DC	gsmin:perite  gsmin:mindaturi  <https://www.mindat.org/1:1:3162:8> .
gsmin:aravaipaite	Aravaipaite	311	1:1:311:9	3	DC	35	s03_DC	gkosg:s03_DC	gsmin:aravaipaite  gsmin:mindaturi  <https://www.mindat.org/1:1:311:9> .
gsmin:calcioaravaipaite	Calcioaravaipaite	829	1:1:829:3	3	DC	37	s03_DC	gkosg:s03_DC	gsmin:calcioaravaipaite  gsmin:mindaturi  <https://www.mindat.org/1:1:829:3> .
gsmin:thorikosite	Thorikosite	3945	1:1:3945:7	3	DC	40	s03_DC	gkosg:s03_DC	gsmin:thorikosite  gsmin:mindaturi  <https://www.mindat.org/1:1:3945:7> .
gsmin:mereheadite	Mereheadite	2648	1:1:2648:8	3	DC	45	s03_DC	gkosg:s03_DC	gsmin:mereheadite  gsmin:mindaturi  <https://www.mindat.org/1:1:2648:8> .
gsmin:blixite	Blixite	696	1:1:696:7	3	DC	50	s03_DC	gkosg:s03_DC	gsmin:blixite  gsmin:mindaturi  <https://www.mindat.org/1:1:696:7> .
gsmin:blodite	Blödite	695	1:1:695:8	3	DC	50	s03_DC	gkosg:s03_DC	gsmin:blodite  gsmin:mindaturi  <https://www.mindat.org/1:1:695:8> .
gsmin:pinalite	Pinalite	3215	1:1:3215:1	3	DC	55	s03_DC	gkosg:s03_DC	gsmin:pinalite  gsmin:mindaturi  <https://www.mindat.org/1:1:3215:1> .
gsmin:symesite	Symesite	11033	1:1:11033:0	3	DC	60	s03_DC	gkosg:s03_DC	gsmin:symesite  gsmin:mindaturi  <https://www.mindat.org/1:1:11033:0> .
gsmin:ecdemite	Ecdemite	1363	1:1:1363:1	3	DC	65	s03_DC	gkosg:s03_DC	gsmin:ecdemite  gsmin:mindaturi  <https://www.mindat.org/1:1:1363:1> .
gsmin:mendipite	Mendipite	2641	1:1:2641:9	3	DC	70	s03_DC	gkosg:s03_DC	gsmin:mendipite  gsmin:mindaturi  <https://www.mindat.org/1:1:2641:9> .
gsmin:damaraite	Damaraite	1215	1:1:1215:3	3	DC	75	s03_DC	gkosg:s03_DC	gsmin:damaraite  gsmin:mindaturi  <https://www.mindat.org/1:1:1215:3> .
gsmin:onoratoite	Onoratoite	2997	1:1:2997:7	3	DC	80	s03_DC	gkosg:s03_DC	gsmin:onoratoite  gsmin:mindaturi  <https://www.mindat.org/1:1:2997:7> .
gsmin:cotunnite	Cotunnite	1141	1:1:1141:5	3	DC	85	s03_DC	gkosg:s03_DC	gsmin:cotunnite  gsmin:mindaturi  <https://www.mindat.org/1:1:1141:5> .
gsmin:barstowite	Barstowite	540	1:1:540:9	3	DC	95	s03_DC	gkosg:s03_DC	gsmin:barstowite  gsmin:mindaturi  <https://www.mindat.org/1:1:540:9> .
gsmin:eglestonite	Eglestonite	1357	1:1:1357:0	3	DD	5	s03_DD	gkosg:s03_DD	gsmin:eglestonite  gsmin:mindaturi  <https://www.mindat.org/1:1:1357:0> .
gsmin:kadyrelite	Kadyrelite	2128	1:1:2128:5	3	DD	5	s03_DD	gkosg:s03_DD	gsmin:kadyrelite  gsmin:mindaturi  <https://www.mindat.org/1:1:2128:5> .
gsmin:poyarkovite	Poyarkovite	3276	1:1:3276:2	3	DD	10	s03_DD	gkosg:s03_DD	gsmin:poyarkovite  gsmin:mindaturi  <https://www.mindat.org/1:1:3276:2> .
gsmin:terlinguaite	Terlinguaite	3914	1:1:3914:3	3	DD	20	s03_DD	gkosg:s03_DD	gsmin:terlinguaite  gsmin:mindaturi  <https://www.mindat.org/1:1:3914:3> .
gsmin:pinchite	Pinchite	3216	1:1:3216:8	3	DD	25	s03_DD	gkosg:s03_DD	gsmin:pinchite  gsmin:mindaturi  <https://www.mindat.org/1:1:3216:8> .
gsmin:gianellaite	Gianellaite	1688	1:1:1688:5	3	DD	30	s03_DD	gkosg:s03_DD	gsmin:gianellaite  gsmin:mindaturi  <https://www.mindat.org/1:1:1688:5> .
gsmin:mosesite	Mosesite	2790	1:1:2790:4	3	DD	30	s03_DD	gkosg:s03_DD	gsmin:mosesite  gsmin:mindaturi  <https://www.mindat.org/1:1:2790:4> .
gsmin:kleinite	Kleinite	2225	1:1:2225:1	3	DD	35	s03_DD	gkosg:s03_DD	gsmin:kleinite  gsmin:mindaturi  <https://www.mindat.org/1:1:2225:1> .
gsmin:tedhadleyite	Tedhadleyite	10654	1:1:10654:0	3	DD	40	s03_DD	gkosg:s03_DD	gsmin:tedhadleyite  gsmin:mindaturi  <https://www.mindat.org/1:1:10654:0> .
gsmin:vasilyevite	Vasilyevite	25677	1:1:25677:5	3	DD	45	s03_DD	gkosg:s03_DD	gsmin:vasilyevite  gsmin:mindaturi  <https://www.mindat.org/1:1:25677:5> .
